Time,S11_Impulse Response (Real),S11_Impulse Response (Magnitude),S11_Step Response,S11_Impedance,S22_Impulse Response (Real),S22_Impulse Response (Magnitude),S22_Step Response,S22_Impedance,
0,0.02130207495,-33.07739975,nan,0,-0.03267259217,-28.8805756,nan,0,
2.49500998e-07,0.008494503764,-40.22420725,nan,0,-0.01421697203,-34.04513522,nan,0,
4.99001996e-07,0.0003385432116,-58.19128621,nan,0,-0.0001380640329,-54.18085368,nan,0,
7.48502994e-07,-6.872838567e-05,-78.33554371,nan,0,-7.907509871e-05,-63.11985896,nan,0,
9.98003992e-07,0.0005475407528,-64.90998556,nan,0,-0.0003520554628,-69.06140842,nan,0,
1.24750499e-06,0.0005432607933,-60.7298033,nan,0,-0.0001950059567,-64.55517449,nan,0,
1.497005988e-06,-8.517493475e-05,-63.75756944,nan,0,-3.188742018e-05,-67.98833995,nan,0,
1.746506986e-06,-0.000553271775,-55.88375395,nan,0,0.0001401568076,-65.11049447,nan,0,
1.996007984e-06,-0.0002655664245,-70.23317242,nan,0,0.0003158781903,-68.59672308,nan,0,
2.245508982e-06,0.0005657688279,-64.10878823,nan,0,-0.0003577497063,-67.46461055,nan,0,
2.49500998e-06,0.0002071183042,-66.36083535,nan,0,0.0002005303208,-65.24126804,nan,0,
2.744510978e-06,0.000584427204,-62.58640742,nan,0,-0.0002695840064,-70.06337843,nan,0,
2.994011976e-06,-0.0002344716567,-67.07810559,nan,0,5.013591182e-05,-76.80207008,nan,0,
3.243512974e-06,9.316966472e-05,-68.51860346,nan,0,-0.00071825288,-60.03273132,nan,0,
3.493013972e-06,-0.0007718289599,-62.04479587,nan,0,0.0003450728529,-69.17225363,nan,0,
3.74251497e-06,0.0001086756471,-69.20894003,nan,0,-0.0004245568798,-66.44501599,nan,0,
3.992015968e-06,-0.0005979431556,-64.06135776,nan,0,0.0002197305993,-68.94043339,nan,0,
4.241516966e-06,0.000349357303,-69.02031301,nan,0,-0.0006325901704,-63.97208955,nan,0,
4.491017964e-06,-0.0004429969384,-65.06677484,nan,0,0.0004828376884,-65.67559068,nan,0,
4.740518962e-06,0.0005717707771,-64.70499403,nan,0,-0.0005536649984,-65.08042732,nan,0,
4.99001996e-06,-0.00053611267,-65.41387997,nan,0,0.0003153963511,-69.83567516,nan,0,
5.239520958e-06,0.0004522170326,-66.8878149,nan,0,-0.0005514944436,-64.56759849,nan,0,
5.489021956e-06,-0.0005269148197,-65.39084311,nan,0,0.0002098141569,-67.34859472,nan,0,
5.738522954e-06,0.0005038393958,-65.68799401,nan,0,-0.0007844447768,-61.98976809,nan,0,
5.988023952e-06,-0.000556616465,-65.08441401,nan,0,0.0004124147193,-66.54994225,nan,0,
6.23752495e-06,0.0003510423531,-68.73899833,nan,0,-0.000413580898,-67.04043584,nan,0,
6.487025948e-06,-0.0005824829445,-64.4246033,nan,0,0.0003286139319,-68.52055785,nan,0,
6.736526946e-06,0.0004232173069,-66.72923884,nan,0,-0.0003357091634,-69.15370513,nan,0,
6.986027944e-06,-0.0004205548367,-66.4540303,nan,0,0.0004886505063,-64.71463114,nan,0,
7.235528942e-06,0.0004307371227,-65.8105045,nan,0,-0.0004540452777,-65.36161247,nan,0,
7.48502994e-06,-0.000504215869,-65.1179888,nan,0,0.0001779660539,-69.18363161,nan,0,
7.734530938e-06,0.0003440317104,-66.31707376,nan,0,-0.000424989459,-65.36417501,nan,0,
7.984031936e-06,-0.000339107637,-66.5989724,nan,0,0.0003213027036,-66.98756214,nan,0,
8.233532934e-06,0.0003392653265,-67.2311285,nan,0,-0.0002149406566,-67.55767374,nan,0,
8.483033932e-06,-0.0003971326226,-64.8083386,nan,0,0.0002470156383,-67.54071627,nan,0,
8.73253493e-06,0.0002477187066,-68.33402873,nan,0,-0.0002268540963,-68.47723093,nan,0,
8.982035928e-06,-0.0002833864125,-64.83312225,nan,0,0.0001797204908,-67.08260885,nan,0,
9.231536926e-06,0.0002392485899,-68.03407889,nan,0,-0.000147764125,-66.95765461,nan,0,
9.481037924e-06,-0.0002497464208,-65.60765168,nan,0,0.0001517360836,-68.37361215,nan,0,
9.730538922e-06,0.0001226914035,-67.65718336,nan,0,-0.0001401456827,-66.77605507,nan,0,
9.98003992e-06,-0.0002521501631,-66.69966761,nan,0,2.795752466e-05,-66.62858767,nan,0,
1.022954092e-05,8.352390566e-05,-65.69272516,nan,0,-8.336408398e-05,-71.16471477,nan,0,
1.047904192e-05,-0.0001352454875,-68.08419342,nan,0,6.968931631e-05,-66.00735662,nan,0,
1.072854291e-05,9.059433869e-05,-66.72916705,nan,0,0.0001031221472,-67.5134591,nan,0,
1.097804391e-05,-5.900071403e-05,-66.60973847,nan,0,8.545531211e-06,-69.6443466,nan,0,
1.122754491e-05,1.890431892e-05,-67.5616931,nan,0,1.938779903e-05,-67.92722458,nan,0,
