Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Unwrapped Phase,S11_VSWR,S11_Real,S11_Imaginary,S11_Impedance (absolute),S11_Resistance,S11_Reactance,S11_Capacitance,S11_Inductance,S11_Quality Factor,S11_Group delay,S12_Magnitude,S12_Magnitude (linear),S12_Phase,S12_Unwrapped Phase,S12_VSWR,S12_Real,S12_Imaginary,S12_Impedance (absolute),S12_Resistance,S12_Reactance,S12_Capacitance,S12_Inductance,S12_Quality Factor,S12_Group delay,S21_Magnitude,S21_Magnitude (linear),S21_Phase,S21_Unwrapped Phase,S21_VSWR,S21_Real,S21_Imaginary,S21_Impedance (absolute),S21_Resistance,S21_Reactance,S21_Capacitance,S21_Inductance,S21_Quality Factor,S21_Group delay,S22_Magnitude,S22_Magnitude (linear),S22_Phase,S22_Unwrapped Phase,S22_VSWR,S22_Real,S22_Imaginary,S22_Impedance (absolute),S22_Resistance,S22_Reactance,S22_Capacitance,S22_Inductance,S22_Quality Factor,S22_Group delay,
0,-13.42672479,0.2131394107,-133.4228474,-133.4228474,1.541746311,-0.1465071684,-0.154803288,37.48854283,35.65978429,-11.56592529,inf,-inf,0.3243408653,9.168548493e-06,-13.63676599,0.2080471162,-132.5067257,-132.5067257,1.525402762,-0.140572599,-0.1533719236,37.92910714,36.11807585,-11.58023169,inf,-inf,0.3206215009,5.845232797e-06,-15.72370561,0.1636118364,-160.2787895,-160.2787895,1.391234222,-0.1540152971,-0.05520979335,36.68997148,36.45608273,-4.136186473,inf,-inf,0.1134566899,1.692616836e-05,-15.99568001,0.1585681647,-159.8290879,-159.8290879,1.376900797,-0.1488428942,-0.05467774415,37.07848903,36.84738001,-4.133392693,inf,-inf,0.1121760269,-8.559965619e-06,
8000,-14.28263667,0.1931381943,128.0923601,-231.9076399,1.478739216,-0.1191529274,0.1520030986,39.57161642,37.73484778,11.91612727,-1.669533015e-06,0.0002370638197,0.3157857516,9.168548493e-06,-22.55676752,0.07450091796,76.90723481,76.90723481,1.160996201,0.01687656782,0.07256423523,51.70747978,51.16548807,7.467013839,-2.66430039e-06,0.0001485515203,0.1459384855,5.845232797e-06,-20.17605085,0.09799354242,-59.22588863,-59.22588863,1.217279026,0.05013885642,-0.08419518652,55.23934672,54.45782543,-9.259086084,2.148631918e-06,-0.0001842036648,0.1700230593,1.692616836e-05,-9.60520676,0.3309326843,-126.3246658,-126.3246658,1.989235841,-0.1960313098,-0.2666236432,34.56152358,29.65157085,-17.75621744,1.120417e-06,-0.0003532487221,0.5988288962,-8.559965619e-06,
16000,-0.16657001,0.9810056293,-144.587142,-144.587142,104.2943544,-0.7995174062,-0.5684575287,15.97033995,0.5282737522,-15.96160033,6.231946507e-07,-0.0001587729745,30.21463827,9.168548493e-06,-22.19010137,0.07771322492,-20.9001817,-20.9001817,1.168522909,0.07259995451,-0.02772349062,57.82181527,57.73205854,-3.220518188,3.088690503e-06,-3.203508681e-05,0.05578387935,5.845232797e-06,-17.36117428,0.1355006211,-175.4993546,-175.4993546,1.31347766,-0.1350827982,-0.01063277784,38.10050727,38.09157015,-0.8251892254,1.205442781e-05,-8.208309013e-06,0.02166330298,1.692616836e-05,-4.936381323,0.5664752423,14.78795285,14.78795285,3.613346676,0.5477119269,0.1445885376,163.6825333,150.5975866,64.12751832,-1.551156852e-07,0.0006378882206,0.4258203585,-8.559965619e-06,
24000,-7.35307435,0.4288903577,122.4659162,-237.5340838,2.501954532,-0.2302274009,0.3618594793,33.16522501,24.81306851,22.00553978,-3.01353933e-07,0.000145928768,0.8868528201,9.019430099e-06,-20.99357473,0.08919104726,-63.10605862,-63.10605862,1.195850177,0.04034471448,-0.07954462222,54.17650225,53.49303059,-8.578407419,7.730404536e-07,-5.688733103e-05,0.1603649545,2.329962843e-05,-21.99948449,0.07943753802,136.3344463,-223.6655537,1.172584787,-0.05746371487,0.05484746046,44.58135824,44.31217534,4.891688704,-1.355657803e-06,3.243901822e-05,0.1103915271,2.747843233e-05,-6.239777006,0.4875410066,-50.35717935,-50.35717935,2.902751295,0.3110509981,-0.3754244394,86.90717773,61.91609028,-60.98569755,1.087378882e-07,-0.0004044239676,0.9849733288,1.597010056e-06,
32000,-7.006545015,0.4463471327,97.36327626,-262.6367237,2.612371791,-0.05720382992,0.4426663357,45.43718019,30.47936446,33.69785878,-1.475937093e-07,0.0001675993999,1.105595847,1.472735626e-05,-20.12289606,0.09859506942,-146.6714312,-146.6714312,1.218758665,-0.08237948386,-0.05417202555,42.40975797,42.15819128,-4.612426572,1.078302688e-06,-2.294032777e-05,0.109407601,2.303543005e-05,-20.76218164,0.09159903912,38.20421856,-321.7957814,1.201670943,0.07197956541,0.05665091465,57.72937901,57.35618723,6.553547717,-7.589159623e-07,3.259467231e-05,0.1142605189,2.543527404e-05,-6.128486349,0.4938279679,-74.54932625,-74.54932625,2.951225815,0.1315600583,-0.4759811057,61.9792588,38.54891992,-48.53255912,1.024794913e-07,-0.0002413811464,1.258986224,1.18569016e-05,
40000,-6.049729552,0.4983259718,57.23735751,-302.7626425,2.986652463,0.2696741009,0.4190520893,79.39576915,53.01070685,59.10628663,-6.731726529e-08,0.0002351764421,1.11498771,7.317242925e-06,-13.37780317,0.2143432649,164.2782102,-195.7217898,1.545641004,-0.2063244189,0.05807985319,32.94624047,32.70472647,3.981912573,-9.992367999e-07,1.584352673e-05,0.1217534284,2.500732981e-05,-13.79785857,0.2042241379,-21.76710074,-381.7671007,1.513270502,0.189662735,-0.07573338413,73.23485244,72.33684341,-11.43349017,3.480016616e-07,-4.549241194e-05,0.1580590144,2.607850539e-05,-5.686670319,0.5195968195,-104.652971,-104.652971,3.163169773,-0.1314392461,-0.5026973039,40.52804536,23.81233303,-32.79474434,1.213265618e-07,-0.0001304861417,1.377216768,6.87544901e-06,
48000,-13.88075116,0.2022844235,35.95320722,-324.0467928,1.507159267,0.1637485858,0.118766109,69.24778852,67.21696687,16.64738957,-1.991740488e-07,5.51982154e-05,0.2476664798,6.193405838e-06,-9.863404185,0.3212401283,73.69749114,-286.3025089,1.946550148,0.0901749105,0.3083240269,58.96727862,48.58911259,33.41014944,-9.92431353e-08,0.0001107789673,0.6876056725,2.374759572e-05,-9.924632897,0.3189836,-102.7165273,-462.7165273,1.936786838,-0.07021709241,-0.3111592792,43.98555514,36.15603409,-25.04935648,1.323677909e-07,-8.30568522e-05,0.6928126139,2.341935732e-05,-13.52777089,0.2106742494,-128.8035343,-128.8035343,1.533808125,-0.1320194153,-0.1641782975,38.61350992,36.51788251,-12.5478048,2.64247654e-07,-4.160510747e-05,0.3436071299,6.356822524e-06,
56000,-11.04054131,0.2805258806,47.80265259,-312.1973474,1.779808121,0.1884253885,0.2078235854,72.00499271,65.63461681,29.61107989,-9.597936198e-08,8.415624526e-05,0.451150343,5.199457008e-06,-10.5782618,0.2958604476,6.603930977,-353.396069,1.840346055,0.2938973773,0.03402552073,91.54791946,91.29437916,6.808663036,-4.174171258e-07,1.935057818e-05,0.07457921395,2.324588003e-05,-10.63985662,0.2937698146,-168.7356584,-528.7356584,1.83193786,-0.2881107554,-0.05738376593,27.69523662,27.47931089,-3.451608972,8.233993416e-07,-9.8096541e-06,0.125607552,2.250933415e-05,-10.58262423,0.2957118911,-122.2365411,-122.2365411,1.839746937,-0.157737406,-0.2501288333,37.08975041,32.52338907,-17.82915446,1.594047862e-07,-5.067139398e-05,0.548194852,5.779592423e-06,
64000,-11.14994443,0.2770146761,12.89558465,-347.1044154,1.766307882,0.2700279215,0.06182274975,86.78386428,86.0159363,11.5194532,-2.158779539e-07,2.864652997e-05,0.1339223136,3.431096928e-06,-9.708565485,0.3270180509,-49.79966999,-409.79967,1.971847912,0.2110777536,-0.2497738729,74.71541463,65.20724061,-36.4747715,6.81785213e-08,-9.070531535e-05,0.5593668918,1.98902139e-05,-9.907893736,0.3195989274,134.449752,-585.550248,1.93944275,-0.223809849,0.2281504458,32.49376609,28.96753974,14.72163295,-1.689212056e-07,3.660969771e-05,0.5082113662,1.986478702e-05,-11.02009293,0.2811870745,-157.2957856,-157.2957856,1.782365104,-0.2593978041,-0.1085308715,29.60733396,28.81769378,-6.792256558,3.661222106e-07,-1.689095634e-05,0.2356974368,3.453484825e-06,
72000,-16.1910508,0.155041321,-6.106012124,-366.1060121,1.366979652,0.1541617388,-0.01649149849,68.21991121,68.18098666,-2.304201231,9.59328244e-07,-5.093402997e-06,0.03379536354,3.572978702e-06,-9.605574998,0.3309186547,-108.7138817,-468.7138817,1.989173161,-0.1061727592,-0.3134238364,41.19208972,33.68351334,-23.71095073,9.3226347e-08,-5.241270854e-05,0.7039334196,1.879819069e-05,-9.831677918,0.3224156425,75.51534776,-644.4846522,1.951662,0.08064281279,0.3121675564,57.9264688,47.52732906,33.11538585,-6.675100603e-08,7.320107432e-05,0.6967651352,1.878630137e-05,-16.53272814,0.1490608499,-173.6329763,-173.6329763,1.350344322,-0.1481414292,-0.01653039448,37.10042281,37.07923334,-1.253725405,1.763133548e-06,-2.771341603e-06,0.03381206383,3.354610506e-06,
