Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Unwrapped Phase,S11_VSWR,S11_Real,S11_Imaginary,S11_Impedance (absolute),S11_Resistance,S11_Reactance,S11_Capacitance,S11_Inductance,S11_Quality Factor,S11_Group delay,S12_Magnitude,S12_Magnitude (linear),S12_Phase,S12_Unwrapped Phase,S12_VSWR,S12_Real,S12_Imaginary,S12_Impedance (absolute),S12_Resistance,S12_Reactance,S12_Capacitance,S12_Inductance,S12_Quality Factor,S12_Group delay,S21_Magnitude,S21_Magnitude (linear),S21_Phase,S21_Unwrapped Phase,S21_VSWR,S21_Real,S21_Imaginary,S21_Impedance (absolute),S21_Resistance,S21_Reactance,S21_Capacitance,S21_Inductance,S21_Quality Factor,S21_Group delay,S22_Magnitude,S22_Magnitude (linear),S22_Phase,S22_Unwrapped Phase,S22_VSWR,S22_Real,S22_Imaginary,S22_Impedance (absolute),S22_Resistance,S22_Reactance,S22_Capacitance,S22_Inductance,S22_Quality Factor,S22_Group delay,
0,-13.28693505,0.2165974042,-133.2535608,-133.2535608,1.552965756,-0.1484186615,-0.1577540377,37.35626421,35.4636025,-11.73982,inf,-inf,0.3310385627,-2.105470346e-05,-13.4463049,0.2126594837,-132.2988204,-132.2988204,1.540196978,-0.1431192554,-0.1572925133,37.75046246,35.85440431,-11.81351374,inf,-inf,0.3294857066,-8.871772989e-07,-15.94078261,0.1595735362,-172.9718859,-172.9718859,1.379744197,-0.1583745378,-0.01952483616,36.33247801,36.30334528,-1.454675169,inf,-inf,0.0400700034,9.830871152e-06,-16.05341013,0.1575177478,-172.2027575,-172.2027575,1.373937249,-0.1560613971,-0.02137010056,36.50605966,36.47104853,-1.598440193,inf,-inf,0.04382764569,-1.397151122e-05,
8000,-12.72554753,0.2310588586,-24.98753048,-24.98753048,1.600979311,0.2094316898,-0.09760411601,76.16171452,74.59218135,-15.38223777,1.293333791e-06,-0.0003060198972,0.20621783,-2.105470346e-05,-18.74624354,0.1155281512,-103.0567752,-103.0567752,1.261236469,-0.02609971105,-0.1125413648,47.48744999,46.29800513,-10.56184775,1.883606766e-06,-0.0002101212847,0.2281274911,-8.871772989e-07,-16.34583275,0.1523029666,105.6838332,-254.3161668,1.35933349,-0.041171878,0.1466324319,46.12576066,44.17768018,13.26342228,-1.499942283e-06,0.0002638674022,0.3002290347,9.830871152e-06,-13.69082928,0.2067561972,110.3567084,-249.6432916,1.52129294,-0.07192298718,0.1938432589,43.51862067,40.33611305,16.33610507,-1.217815862e-06,0.0003249964841,0.4049994864,-1.397151122e-05,
16000,-13.871663,0.2024961872,154.2535949,154.2535949,1.507825001,-0.1823934785,0.08796206457,34.67790124,34.10872747,6.257119522,-1.589738522e-06,6.224071884e-05,0.1834462903,-2.105470346e-05,-30.72214479,0.0290999847,-76.01225791,-76.01225791,1.059944349,0.007033882553,-0.02823709627,50.70780247,50.62699684,-2.861541948,3.476162197e-06,-2.846428411e-05,0.05652205594,-8.871772989e-07,-33.03670202,0.02229281433,110.68396,-249.31604,1.045602231,-0.007874110745,0.02085588528,49.21907769,49.17627356,2.052249345,-4.846966557e-06,2.041410173e-05,0.04173251035,9.830871152e-06,-14.52039535,0.1879231279,-28.84826232,-28.84826232,1.462821032,0.164601975,-0.09067133972,69.50615603,68.30970557,-12.8409443,7.746458292e-07,-0.0001277312349,0.1879812567,-1.397151122e-05,
24000,-7.554657025,0.419051258,119.2564654,119.2564654,2.442644515,-0.2047986019,0.3655974418,34.75714636,26.00288416,23.06315759,-2.875346074e-07,0.0001529423139,0.8869461343,-4.207594491e-06,-19.68010033,0.1037516432,-51.53739819,-51.53739819,1.231524314,0.06453390374,-0.08123902221,56.85005447,56.09841305,-9.213943048,7.197196605e-07,-6.110185756e-05,0.1642460552,8.81846831e-06,-21.11404057,0.0879625825,124.0563126,-235.9436874,1.192892486,-0.04925970102,0.07287590669,45.32898975,44.84775,6.587611982,-1.00665552e-06,4.368545875e-05,0.1468883496,1.089376569e-05,-6.3247382,0.4827953627,-48.33516447,-48.33516447,2.866941353,0.3209488344,-0.3606704977,89.04396161,64.86103001,-61.00716258,1.086996294e-07,-0.000404566312,0.9405826977,1.628877775e-05,
32000,-6.370855802,0.480238761,97.81217103,97.81217103,2.847920641,-0.06527694752,0.4757816597,44.94930087,28.26110231,34.95353695,-1.42291522e-07,0.0001738446307,1.236807275,9.297734349e-06,-19.85446426,0.1016896581,-145.2831558,-145.2831558,1.226402065,-0.08358652401,-0.05791441589,42.31009356,42.02325206,-4.918363945,1.011228943e-06,-2.446193543e-05,0.1170391082,2.04235487e-05,-20.64911879,0.09279916333,36.27732982,-323.7226702,1.204583505,0.07481120186,0.05490873147,58.05963529,57.70667558,6.392248738,-7.780660884e-07,3.1792437e-05,0.1107713912,2.033817429e-05,-5.576416337,0.5262343377,-71.66705953,-71.66705953,3.22149632,0.1655208263,-0.4995252088,65.19134815,38.22243383,-52.81058062,9.417794527e-08,-0.0002626582798,1.381664518,8.225341347e-06,
40000,-6.016714457,0.5002237149,63.8225421,63.8225421,3.00179052,0.2206750959,0.4489167707,72.30613972,46.34693603,55.49900325,-7.169270337e-08,0.0002208235176,1.197468657,7.058729327e-06,-13.61188603,0.208643903,164.5927301,-195.4072699,1.527307248,-0.2011455962,0.0554321874,33.29837497,33.07691918,3.83395266,-1.03779935e-06,1.525481293e-05,0.1159102103,2.697947594e-05,-13.3522553,0.2149746423,-13.98307761,-373.9830776,1.547688403,0.2086043279,-0.05194546364,76.26542675,75.81698353,-8.258348856,4.81800133e-07,-3.285892606e-05,0.108924788,2.624822293e-05,-6.050135805,0.4983026649,-102.7922926,-102.7922926,2.986467258,-0.1103328404,-0.4859343682,41.81998103,25.58574465,-33.07991058,1.20280663e-07,-0.0001316207821,1.29290396,7.244744183e-06,
48000,-13.71220707,0.2062479529,48.08318187,48.08318187,1.519678541,0.1377841524,0.1534722953,65.54749439,62.41847074,20.01021065,-1.657018029e-07,6.634841538e-05,0.3205815589,7.191693118e-06,-10.05262349,0.3143176911,61.82357666,-298.1764233,1.916802685,0.1484170661,0.2770703618,65.95965244,56.18751106,34.54908611,-9.597151052e-08,0.0001145553715,0.6148890645,2.519614961e-05,-10.04372363,0.3146399168,-113.1660548,-473.1660548,1.918174036,-0.1237784916,-0.2892700507,39.75898314,33.45580197,-21.48222648,1.543475014e-07,-7.122921944e-05,0.6421076529,2.493962821e-05,-13.35280584,0.2149610169,-120.0646136,-120.0646136,1.547644185,-0.1076903785,-0.1860403751,40.57574336,37.80120802,-14.74651219,2.248482853e-07,-4.88954231e-05,0.3901069031,7.45651894e-06,
56000,-10.20288071,0.3089270693,42.47525763,42.47525763,1.894050557,0.2278550333,0.2086097263,77.85730865,70.69935044,32.60923732,-8.715483062e-08,9.267716625e-05,0.461238146,6.01809225e-06,-10.43193416,0.3008869084,-3.595218016,-363.595218,1.860767484,0.3002947526,-0.01886778235,92.89333663,92.81347797,-3.851012451,7.380013936e-07,-1.094477978e-05,0.04149195284,2.453051474e-05,-10.55936936,0.2965046659,-179.1964053,-539.1964053,1.842947072,-0.2964755035,-0.004158452299,27.13252836,27.13140042,-0.2473993905,1.148771041e-05,-7.0312207e-07,0.009118563239,2.437324438e-05,-9.909543393,0.3195382338,-128.4607037,-128.4607037,1.939180567,-0.1987456679,-0.2502095969,34.27348746,29.93790681,-16.68513345,1.703344216e-07,-4.742002615e-05,0.5573246504,6.179697655e-06,
64000,-11.4654439,0.2671331622,4.92543237,4.92543237,1.729008733,0.2661467152,0.02293583187,86.23906305,86.13404245,4.254729895,-5.844779921e-07,1.058064522e-05,0.04939661223,4.239439877e-06,-9.381108853,0.3395819183,-64.01373614,-424.0137361,2.028384679,0.1487897384,-0.3052498862,65.72314504,54.09347792,-37.32864102,6.66189799e-08,-9.282871464e-05,0.6900765573,2.09362572e-05,-9.5759157,0.3320505584,119.7533474,-600.2466526,1.994238599,-0.1647858096,0.2882762743,36.81736473,30.8974992,20.0215606,-1.242059016e-07,4.978953652e-05,0.6479993887,2.072194881e-05,-11.6090925,0.2627516033,-166.2067268,-166.2067268,1.712789894,-0.2551744456,-0.06264509035,29.73794433,29.47223892,-3.966417262,6.269627781e-07,-9.863670525e-06,0.1345814708,4.169574569e-06,
72000,-17.01907772,0.1409438447,-1.259111555,-1.259111555,1.328136511,0.1409098131,-0.00309708222,66.40202742,66.40070145,-0.4196329424,5.267663945e-06,-9.275924593e-07,0.006319706467,3.772973186e-06,-9.524862331,0.3340080112,-125.7280257,-485.7280257,2.003039126,-0.195040092,-0.2711470339,34.65767045,29.58224807,-18.05670844,1.224190626e-07,-3.991408895e-05,0.6103900014,1.982327056e-05,-9.791786454,0.3238997981,58.58250228,-661.4174977,1.958141403,0.1688393371,0.2764133815,68.56112847,58.33231984,36.02733405,-6.135578385e-08,7.963789306e-05,0.6176221715,1.966919272e-05,-17.62245688,0.1314852863,-168.7088823,-168.7088823,1.302781943,-0.1289403916,-0.02574404612,38.58545023,38.53259816,-2.018873013,1.09491053e-06,-4.46268916e-06,0.05239389788,3.547324474e-06,
