Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Unwrapped Phase,S11_VSWR,S11_Real,S11_Imaginary,S11_Impedance (absolute),S11_Resistance,S11_Reactance,S11_Capacitance,S11_Inductance,S11_Quality Factor,S11_Group delay,S12_Magnitude,S12_Magnitude (linear),S12_Phase,S12_Unwrapped Phase,S12_VSWR,S12_Real,S12_Imaginary,S12_Impedance (absolute),S12_Resistance,S12_Reactance,S12_Capacitance,S12_Inductance,S12_Quality Factor,S12_Group delay,S21_Magnitude,S21_Magnitude (linear),S21_Phase,S21_Unwrapped Phase,S21_VSWR,S21_Real,S21_Imaginary,S21_Impedance (absolute),S21_Resistance,S21_Reactance,S21_Capacitance,S21_Inductance,S21_Quality Factor,S21_Group delay,S22_Magnitude,S22_Magnitude (linear),S22_Phase,S22_Unwrapped Phase,S22_VSWR,S22_Real,S22_Imaginary,S22_Impedance (absolute),S22_Resistance,S22_Reactance,S22_Capacitance,S22_Inductance,S22_Quality Factor,S22_Group delay,
0,-13.66409091,0.2073936497,-134.0042097,-134.0042097,1.523320687,-0.1440786956,-0.149175921,37.65173679,35.94537967,-11.20638049,inf,-inf,0.311761361,1.331502971e-05,-13.81676554,0.2037800775,-133.2172107,-133.2172107,1.511868824,-0.1395416778,-0.1485073741,37.99150058,36.28906019,-11.24536469,inf,-inf,0.3098830509,-5.58801379e-06,-16.35092304,0.1522137369,-163.3193055,-163.3193055,1.359085169,-0.145808471,-0.04369109161,37.29624417,37.14790868,-3.32305735,inf,-inf,0.08945476255,-2.215851412e-05,-16.64571277,0.1471344471,-163.1410619,-163.1410619,1.345035502,-0.140810855,-0.04267140316,37.67701578,37.53448106,-3.274179164,inf,-inf,0.08723123569,-2.596346131e-06,
8000,-21.21538297,0.08694224522,-116.5622972,-116.5622972,1.19044194,-0.03887801622,-0.07776537699,46.27938271,45.72133705,-7.165235711,2.776512691e-06,-0.0001425478352,0.1567153582,1.331502971e-05,-30.68342518,0.02922999501,133.8070682,-226.1929318,1.060220227,-0.02023394397,0.0210945519,48.01759987,47.97485015,2.025746716,-9.820757813e-06,4.030095041e-05,0.04222518068,-5.58801379e-06,-29.51123796,0.03345323352,-104.1720302,-104.1720302,1.069222173,-0.008190492559,-0.03243508385,49.18845156,49.08505057,-3.187722903,6.240933887e-06,-6.341773215e-05,0.06494284646,-2.215851412e-05,-30.9236969,0.02843250702,56.66495391,56.66495391,1.058529144,0.01562462798,0.023754546,51.58635362,51.52813993,2.450035768,-8.120031613e-06,4.87419129e-05,0.04754752978,-2.596346131e-06,
16000,-14.5285894,0.1877459296,139.7325329,-220.2674671,1.462283752,-0.1432568014,0.1213508259,37.63200852,36.49489719,9.180988203,-1.083454605e-06,9.132497844e-05,0.2515690935,1.331502971e-05,-25.33379202,0.05411409492,90.39893027,-269.6010697,1.11441992,-0.0003767742783,0.05411278324,49.96244668,49.67070148,5.391427714,-1.844999965e-06,5.362952318e-05,0.108543418,-5.58801379e-06,-28.27812658,0.03855615085,-83.16534064,-83.16534064,1.080204686,0.004588359747,-0.03828215934,50.46027332,50.3125821,-3.857883609,2.578404366e-06,-3.837507789e-05,0.07667830686,-2.215851412e-05,-8.121709503,0.392567665,-45.31925102,-45.31925102,2.292547803,0.2760362459,-0.279129652,84.17267258,70.25239289,-46.36421144,2.145444435e-07,-0.0004611933396,0.6599662949,-2.596346131e-06,
24000,-7.35826576,0.4286340937,118.2664036,-241.7335964,2.500383866,-0.202989038,0.3775217037,34.97288501,25.67371553,23.74790552,-2.792438246e-07,0.0001574831896,0.9249890413,1.354867303e-05,-19.77968182,0.1025689498,-43.53562597,-43.53562597,1.228583466,0.07435697232,-0.07065005406,57.98968549,57.40729931,-8.197902729,8.089210352e-07,-5.436403093e-05,0.1428024455,3.040687037e-05,-20.536311,0.09401225066,132.4659142,132.4659142,1.207535368,-0.06347250973,0.06935087441,44.05855792,43.63339718,6.105995133,-1.086056542e-06,4.049163783e-05,0.1399385683,-1.09326951e-05,-6.844542578,0.454750171,-50.27627568,-50.27627568,2.668043333,0.2906246252,-0.349764271,84.53352581,63.40054552,-55.91321682,1.18602655e-07,-0.000370786035,0.881904349,1.172208338e-05,
32000,-6.698865408,0.4624414237,96.8450121,-263.1549879,2.720524773,-0.05511562547,0.4591452256,45.64805622,29.68649771,34.67646018,-1.434284799e-07,0.0001724665639,1.168088621,8.774183461e-06,-19.68341726,0.1037120305,-144.078465,-144.078465,1.231425689,-0.08398820011,-0.06084543947,42.27848482,41.96218154,-5.16193751,9.635126272e-07,-2.567337096e-05,0.1230140408,3.123898868e-05,-20.5159796,0.09423256657,37.44432564,37.44432564,1.208072322,0.07481542792,0.05729248073,58.05779247,57.67363796,6.66773962,-7.459187453e-07,3.316261625e-05,0.1156115663,6.244662095e-06,-5.801440958,0.5127763092,-72.28306285,-72.28306285,3.104890706,0.1560453497,-0.4884561312,64.35150549,38.75802455,-51.37053427,9.681799192e-08,-0.0002554960768,1.325416733,7.449025744e-06,
40000,-6.018431564,0.5001248358,69.78057158,-290.2194284,3.000998936,0.1728513516,0.4693050838,66.41671472,41.45603633,51.89004766,-7.667893472e-08,0.0002064639396,1.25168859,6.972767733e-06,-13.72661848,0.2059060351,173.1868325,-186.8131675,1.518593628,-0.2044519824,0.02442707851,33.03408193,32.99117596,1.683115641,-2.36399299e-06,6.696904353e-06,0.05101714603,2.653921826e-05,-13.49102538,0.2115673912,-7.046053876,-7.046053876,1.53667844,0.2099696075,-0.02595235926,76.55372769,76.44096503,-4.153563433,9.579421721e-07,-1.65265038e-05,0.05433687856,2.585009575e-05,-6.140567551,0.4931415802,-98.65114082,-98.65114082,2.945875065,-0.07417728324,-0.4875308696,44.35022304,27.19324094,-35.03526696,1.135676683e-07,-0.000139400898,1.288381441,7.002702142e-06,
48000,-13.80376602,0.2040852881,37.62720707,-322.3727929,1.512832053,0.1616355124,0.1245984187,68.92025001,66.70212761,17.34436605,-1.911703185e-07,5.750919982e-05,0.2600271786,6.602122237e-06,-9.968063522,0.3173926197,72.19626395,-287.803736,1.929941952,0.09704513875,0.3021925149,59.75259887,49.59268237,33.33075046,-9.947954773e-08,0.0001105157019,0.672090092,2.426503798e-05,-10.07280209,0.3135883325,-103.3324907,-103.3324907,1.913703386,-0.07231395906,-0.3051365819,43.79742342,36.27060904,-24.54907775,1.350652768e-07,-8.139806402e-05,0.6768311425,2.395290968e-05,-13.33146077,0.2154899209,-128.3977892,-128.3977892,1.549361765,-0.1338445695,-0.1688832058,38.49016621,36.28133021,-12.8513802,2.58005594e-07,-4.261168091e-05,0.3542146917,6.746403425e-06,
56000,-10.98452181,0.2823409745,47.46745073,-312.5325493,1.786838776,0.1908650229,0.2080552065,72.34990859,65.92417848,29.80791781,-9.534555797e-08,8.471566897e-05,0.4521545583,6.088770598e-06,-10.58467034,0.2956422392,6.162266641,-353.8377334,1.839466123,0.293933981,0.03173560175,91.56492628,91.34426623,6.353011223,-4.47355192e-07,1.805559178e-05,0.06955019165,2.389490823e-05,-10.72290612,0.2909743415,-169.3870563,-169.3870563,1.820772388,-0.2859968668,-0.05358973404,27.81462942,27.6258871,-3.234806205,8.785851067e-07,-9.193489242e-06,0.1170932971,2.362188012e-05,-10.46627634,0.2996996135,-123.0578234,-123.0578234,1.855917316,-0.1634816888,-0.2511843859,36.68932482,32.12136192,-17.7292037,1.60303452e-07,-5.038732869e-05,0.5519443337,6.171198417e-06,
64000,-11.12378506,0.2778502211,12.93101232,-347.0689877,1.769508568,0.2708039989,0.06217668051,86.92614724,86.14747479,11.60894743,-2.142137348e-07,2.886908386e-05,0.1347566769,3.698800116e-06,-9.785780966,0.3241238223,-49.98272894,-409.9827289,1.959121901,0.2084176122,-0.2482304395,74.35289414,65.01862859,-36.06841835,6.894663252e-08,-8.969479797e-05,0.5547397589,2.054234137e-05,-9.929393828,0.3188088059,133.6929274,-226.3070726,1.936033256,-0.2202309433,0.2305154795,32.73953653,29.12782559,14.94814466,-1.663615146e-07,3.717298613e-05,0.5131912305,2.038085086e-05,-11.05295262,0.2801253221,-157.2279309,-157.2279309,1.778261358,-0.2582900996,-0.1084270285,29.67621099,28.88716892,-6.797718044,3.658280573e-07,-1.690453794e-05,0.2353196349,3.737521079e-06,
72000,-16.18940952,0.1550706203,-5.54962765,-365.5496276,1.367061731,0.1543437743,-0.01499655322,68.24639055,68.21418526,-2.096366427,1.05443652e-06,-4.633987215e-06,0.03073211854,3.655979846e-06,-9.652277992,0.3291441195,-109.8103496,-469.8103496,1.981266257,-0.1115495325,-0.3096652276,40.76991066,33.48508206,-23.25800712,9.504190576e-08,-5.141148332e-05,0.694578173,1.917512247e-05,-9.901643654,0.3198289832,74.28616332,-285.7138367,1.940436964,0.08662021865,0.3078758129,58.5862822,48.31329235,33.13877253,-6.670389855e-08,7.325277021e-05,0.6859141846,1.905486201e-05,-16.41934938,0.1510193272,-173.1013272,-173.1013272,1.355766231,-0.149925966,-0.01813951178,36.96593545,36.9404863,-1.371443051,1.611795195e-06,-3.031554733e-06,0.03712574437,3.476945859e-06,
