Time,S11_Impulse Response (Real),S11_Impulse Response (Magnitude),S11_Step Response,S11_Impedance,S22_Impulse Response (Real),S22_Impulse Response (Magnitude),S22_Step Response,S22_Impedance,
0,-0.02063788838,-33.70630577,nan,0,-0.03408867268,-28.93605862,nan,0,
2.49500998e-07,-0.007720515255,-41.66654641,nan,0,-0.01785678669,-34.28889043,nan,0,
4.99001996e-07,9.841152789e-05,-59.46533821,nan,0,-0.00200184741,-53.70079196,nan,0,
7.48502994e-07,-0.0002682787496,-68.54508152,nan,0,-0.0001213732114,-57.57145194,nan,0,
9.98003992e-07,-0.0004349033862,-67.0778742,nan,0,-6.181487816e-05,-66.85021929,nan,0,
1.24750499e-06,0.0009591637569,-60.29964285,nan,0,0.0001782332756,-74.08560197,nan,0,
1.497005988e-06,0.002664134509,-50.97270214,nan,0,0.0003027225852,-61.30563542,nan,0,
1.746506986e-06,0.00151795494,-53.84846679,nan,0,-0.0002595939106,-70.31193143,nan,0,
1.996007984e-06,0.001142343018,-58.84269713,nan,0,-0.0001386103931,-77.09748426,nan,0,
2.245508982e-06,0.0004510244602,-60.90521428,nan,0,-0.0005409065186,-65.09061838,nan,0,
2.49500998e-06,0.000311730697,-68.62888372,nan,0,0.0002327533298,-61.34289276,nan,0,
2.744510978e-06,0.0001258189573,-67.45841814,nan,0,-0.0006126323607,-64.25564621,nan,0,
2.994011976e-06,0.000243431202,-69.55662544,nan,0,6.604884942e-05,-72.33563561,nan,0,
3.243512974e-06,-0.0004087656628,-66.64200804,nan,0,-0.0006286254539,-63.54525633,nan,0,
3.493013972e-06,0.0005227894735,-63.91689721,nan,0,-5.835466582e-05,-61.10833304,nan,0,
3.74251497e-06,-0.0004077060324,-67.42841326,nan,0,-0.0006126609667,-63.57598829,nan,0,
3.992015968e-06,0.0003934034773,-67.98571343,nan,0,0.000475376606,-65.9763926,nan,0,
4.241516966e-06,-0.0002560735166,-69.85832466,nan,0,-0.0004300820285,-63.85582578,nan,0,
4.491017964e-06,0.0001381196058,-77.18155592,nan,0,0.0004877946254,-65.69382103,nan,0,
4.740518962e-06,-0.0007510139854,-62.12380477,nan,0,-0.0002548757838,-69.38018794,nan,0,
4.99001996e-06,0.0004583022356,-66.74129871,nan,0,0.0005827068265,-64.56325682,nan,0,
5.239520958e-06,-0.000356351785,-68.50172251,nan,0,-0.0005378991379,-65.10333039,nan,0,
