Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Unwrapped Phase,S11_VSWR,S11_Real,S11_Imaginary,S11_Impedance (absolute),S11_Resistance,S11_Reactance,S11_Capacitance,S11_Inductance,S11_Quality Factor,S11_Group delay,S12_Magnitude,S12_Magnitude (linear),S12_Phase,S12_Unwrapped Phase,S12_VSWR,S12_Real,S12_Imaginary,S12_Impedance (absolute),S12_Resistance,S12_Reactance,S12_Capacitance,S12_Inductance,S12_Quality Factor,S12_Group delay,S21_Magnitude,S21_Magnitude (linear),S21_Phase,S21_Unwrapped Phase,S21_VSWR,S21_Real,S21_Imaginary,S21_Impedance (absolute),S21_Resistance,S21_Reactance,S21_Capacitance,S21_Inductance,S21_Quality Factor,S21_Group delay,S22_Magnitude,S22_Magnitude (linear),S22_Phase,S22_Unwrapped Phase,S22_VSWR,S22_Real,S22_Imaginary,S22_Impedance (absolute),S22_Resistance,S22_Reactance,S22_Capacitance,S22_Inductance,S22_Quality Factor,S22_Group delay,
0,-13.39760412,0.2138551897,-134.7250828,-134.7250828,1.544060552,-0.150491139,-0.1519422892,37.18242521,35.42936042,-11.28242726,inf,-inf,0.3184485162,1.304013967e-05,-13.48481143,0.2117188024,-133.8855598,-133.8855598,1.537165679,-0.146767752,-0.1525912129,37.46166605,35.6845279,-11.40135482,inf,-inf,0.3195041519,-1.369365681e-06,-16.23689616,0.1542251466,-162.2520727,-162.2520727,1.364695512,-0.1468850826,-0.04701242758,37.21786838,37.04643026,-3.568155224,inf,-inf,0.09631576373,-1.720241655e-05,-16.33914026,0.1524203614,-161.4591243,-161.4591243,1.359660271,-0.1445092941,-0.04846679779,37.40010045,37.21728407,-3.693410349,inf,-inf,0.09923911539,-2.433276423e-06,
8000,-15.14767332,0.1748301516,-112.72427,-112.72427,1.423743431,-0.06753632572,-0.1612588807,43.82472435,41.5838461,-13.83438498,1.438037753e-06,-0.0002752263443,0.3326865184,1.304013967e-05,-28.52312289,0.03748382104,-121.6246822,-121.6246822,1.07788715,-0.01965474538,-0.03191751594,48.07433637,47.97641124,-3.066884827,6.486832408e-06,-6.101373501e-05,0.06392484865,-1.369365681e-06,-21.94833262,0.07990673191,25.85693064,25.85693064,1.173692678,0.07190693893,0.03484936066,57.73763777,57.59610946,4.040172027,-4.924138812e-06,8.037666863e-05,0.07014661346,-1.720241655e-05,-24.24222586,0.06136047417,58.01094846,58.01094846,1.130743427,0.03250615322,0.05204284574,53.35044117,53.0616202,5.543828542,-3.588561178e-06,0.0001102909645,0.1044790664,-2.433276423e-06,
16000,-15.23092311,0.1731624988,148.6557653,-211.3442347,1.418854971,-0.1478907283,0.0900754322,37.20872273,36.58316141,6.794214373,-1.464066836e-06,6.758330012e-05,0.1857197167,1.304013967e-05,-29.15258874,0.03486346615,-84.41988008,-84.41988008,1.072245667,0.003390038975,-0.03469825511,50.3397466,50.21867461,-3.489241804,2.850815306e-06,-3.470813005e-05,0.06948096164,-1.369365681e-06,-35.7263295,0.01635624189,104.8279301,104.8279301,1.033256434,-0.004185840791,0.01581155861,49.5832645,49.55847766,1.567612927,-6.345433731e-06,1.559333413e-05,0.03163157952,-1.720241655e-05,-11.844818,0.2557167053,-37.08869794,-37.08869794,1.687148851,0.2039859576,-0.1542101243,74.85205219,71.08166928,-23.45689684,4.240622283e-07,-0.0002333300676,0.32999924,-2.433276423e-06,
24000,-7.68994738,0.4125747365,121.14297,-238.85703,2.404688433,-0.2133734862,0.353114243,34.11570262,25.97997283,22.11158468,-2.999086704e-07,0.000146632,0.8511011471,1.467593448e-05,-21.00892838,0.08903352757,-56.23009336,-56.23009336,1.195470482,0.04949009493,-0.07401148246,55.17678286,54.57266881,-8.142554015,8.144196465e-07,-5.399698837e-05,0.149205714,7.580874841e-06,-22.0761787,0.07873921213,119.7832691,119.7832691,1.170937943,-0.03911138434,0.06833859189,46.25294032,45.82162466,6.30184117,-1.052304522e-06,4.17903822e-05,0.1375298501,5.512184326e-06,-6.775570244,0.4583755962,-49.30055162,-49.30055162,2.692595802,0.2989026489,-0.3475131561,85.91632101,64.50172182,-56.75510636,1.16843336e-07,-0.0003763689884,0.8799006406,1.256009262e-05,
32000,-6.235973893,0.487754523,100.5632859,-259.4367141,2.904378057,-0.0894158741,0.4794885569,43.23031473,26.89616857,33.84458935,-1.469538283e-07,0.0001683291779,1.258342402,8.761394795e-06,-20.51052467,0.09429176528,-146.8639885,-146.8639885,1.208216646,-0.07895759669,-0.05154255449,42.70013457,42.4710257,-4.417405184,1.125908031e-06,-2.197037096e-05,0.104009854,2.015963968e-05,-20.55519245,0.09380810816,38.49955636,38.49955636,1.207038066,0.07341544279,0.05839635192,57.89402238,57.49626448,6.77476183,-7.341353241e-07,3.369490105e-05,0.1178295997,2.030810907e-05,-6.038639695,0.4989626243,-72.76419382,-72.76419382,2.991718177,0.1478451104,-0.4765558979,63.64683974,39.39248891,-49.99151954,9.948871363e-08,-0.0002486374202,1.269062223,7.379735917e-06,
40000,-6.272573039,0.4857036286,59.98851317,-300.0114868,2.888808304,0.2429361389,0.420582985,75.75614947,50.93703856,56.07505939,-7.095620799e-08,0.0002231155721,1.100870034,7.254090304e-06,-13.36769245,0.2145929143,160.4327743,-199.5672257,1.546450161,-0.2021999982,0.07186987953,33.25582657,32.88461531,4.955005262,-8.030008783e-07,1.971533951e-05,0.150678523,2.70033616e-05,-13.23312178,0.217943495,-20.3543368,-20.3543368,1.55735997,0.204334993,-0.07580618481,75.48897119,74.55047163,-11.86642115,3.353052724e-07,-4.721498958e-05,0.1591729857,2.641679932e-05,-6.286288258,0.4849372967,-105.0166373,-105.0166373,2.883022372,-0.1256470184,-0.4683769939,40.67827633,25.72678494,-31.50959698,1.262749752e-07,-0.0001253727029,1.224777874,7.039040019e-06,
48000,-13.03195155,0.2230501001,53.06890863,-306.9310914,1.574168553,0.1340205634,0.1782970435,64.91882052,60.78010931,22.80858544,-1.453719254e-07,7.562706496e-05,0.3752639753,7.384952479e-06,-10.72276889,0.2909789387,56.94987472,-303.0501253,1.820790678,0.1586919224,0.2438967333,67.58865915,59.64741778,31.78698473,-1.043108684e-07,0.0001053969947,0.5329146828,2.536345422e-05,-10.67124491,0.2927101313,-117.5400375,-117.5400375,1.827694964,-0.1353398951,-0.2595425471,38.75799733,33.70496939,-19.13523964,1.732786233e-07,-6.344724949e-05,0.5677275483,2.533081023e-05,-12.85222188,0.2277135667,-115.4988523,-115.4988523,1.58971272,-0.09802910043,-0.205532878,41.40597558,37.98932868,-16.47014633,2.013174573e-07,-5.461052504e-05,0.4335466538,7.257835762e-06,
56000,-10.03952195,0.3147921563,40.43125823,-319.5687418,1.918822396,0.2396149436,0.2041538157,79.78473386,72.66961678,32.9352479,-8.629212579e-08,9.360370546e-05,0.4532189567,5.651243289e-06,-10.82825134,0.2874666267,-6.985432023,-366.985432,1.80688607,0.2853327924,-0.0349608217,89.85108004,89.59121556,-6.828665912,4.161944063e-07,-1.94074274e-05,0.07622026188,2.450452686e-05,-10.93226598,0.2840447072,177.4011559,-182.5988441,1.793470514,-0.2837525628,0.01287939212,27.89973692,27.88879148,0.7814280697,-3.636998292e-06,2.220859642e-06,0.02801943104,2.427088356e-05,-9.91714509,0.3192587034,-129.2953986,-129.2953986,1.937973662,-0.2021925148,-0.2470714607,34.0249548,29.81037088,-16.40241864,1.73270334e-07,-4.66165358e-05,0.5502252456,5.66100936e-06,
64000,-11.8164556,0.2565530723,3.998597684,-356.0014023,1.690171854,0.2559285599,0.0178899738,84.37987315,84.31805028,3.229456569,-7.700354324e-07,8.030999633e-06,0.03830089238,4.837321652e-06,-9.811657561,0.3231596447,-68.38862606,-428.3886261,1.954906551,0.1190226437,-0.3004426172,62.23971171,51.6840615,-34.6776513,7.171177668e-08,-8.623624405e-05,0.6709544547,2.161519795e-05,-9.947671307,0.3181386506,114.8581427,-245.1418573,1.933147628,-0.1337369188,0.2886635369,39.02410742,32.83396534,21.09055903,-1.179103874e-07,5.244791754e-05,0.6423396874,2.141628489e-05,-12.18824432,0.2458033425,-165.1376481,-165.1376481,1.651828247,-0.2375799495,-0.06304800378,30.86797142,30.59369154,-4.105812616,6.056769314e-07,-1.021031833e-05,0.1342045503,4.548725709e-06,
72000,-16.90734986,0.1427685363,3.145765285,-356.8542347,1.333092151,0.1425534064,0.007834620693,66.62412466,66.61560345,1.065534608,-2.074531699e-06,2.35534861e-06,0.01599527067,3.877926297e-06,-10.07602609,0.3134719572,-129.7631621,-489.7631621,1.913209476,-0.2005015555,-0.2409643007,34.09794934,30.07252423,-16.07213228,1.375352867e-07,-3.552721248e-05,0.5344457339,2.025812708e-05,-10.30211621,0.3054176911,53.94584976,-306.0541502,1.879428362,0.1797534574,0.2469183278,70.35420828,61.7847734,33.6505037,-6.568951658e-08,7.438394446e-05,0.5446407237,2.00782235e-05,-17.63662706,0.1312709556,-161.7157742,-161.7157742,1.302213806,-0.1246433328,-0.04118377561,38.93403072,38.79800248,-3.251730484,6.797873722e-07,-7.187902502e-06,0.08381180153,3.529801567e-06,
