Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Unwrapped Phase,S11_VSWR,S11_Real,S11_Imaginary,S11_Impedance (absolute),S11_Resistance,S11_Reactance,S11_Capacitance,S11_Inductance,S11_Quality Factor,S11_Group delay,S12_Magnitude,S12_Magnitude (linear),S12_Phase,S12_Unwrapped Phase,S12_VSWR,S12_Real,S12_Imaginary,S12_Impedance (absolute),S12_Resistance,S12_Reactance,S12_Capacitance,S12_Inductance,S12_Quality Factor,S12_Group delay,S21_Magnitude,S21_Magnitude (linear),S21_Phase,S21_Unwrapped Phase,S21_VSWR,S21_Real,S21_Imaginary,S21_Impedance (absolute),S21_Resistance,S21_Reactance,S21_Capacitance,S21_Inductance,S21_Quality Factor,S21_Group delay,S22_Magnitude,S22_Magnitude (linear),S22_Phase,S22_Unwrapped Phase,S22_VSWR,S22_Real,S22_Imaginary,S22_Impedance (absolute),S22_Resistance,S22_Reactance,S22_Capacitance,S22_Inductance,S22_Quality Factor,S22_Group delay,
0,-13.0341556,0.2229935083,-134.2954912,-134.2954912,1.573981069,-0.1557295153,-0.1596070889,36.82291415,34.90612227,-11.7255974,inf,-inf,0.3359180751,9.205284436e-06,-13.26248357,0.2172080023,-133.2800076,-133.2800076,1.554957135,-0.1489100665,-0.1581300362,37.32105981,35.42085776,-11.75688483,inf,-inf,0.3319198226,-2.442801129e-06,-15.98478307,0.1587672223,-163.3878519,-163.3878519,1.377463234,-0.1521405928,-0.04539020695,36.81909044,36.66045915,-3.414111264,inf,-inf,0.09312789153,1.052595468e-05,-16.26700883,0.1536913971,-162.9582142,-162.9582142,1.363204147,-0.1469430038,-0.04504219328,37.21141026,37.0540314,-3.418743997,inf,-inf,0.09226375288,-8.801485283e-06,
8000,-16.41421584,0.1511086091,139.8823719,-220.1176281,1.356013998,-0.1155562573,0.09736818339,39.72982887,38.96363695,7.76494028,-2.562076097e-06,0.0001544785786,0.1992868451,9.205284436e-06,-20.56639264,0.09368722341,-166.9682466,-166.9682466,1.206743689,-0.09127433212,-0.02112562725,41.63943441,41.60165804,-1.773286905,1.121892223e-05,-3.527842206e-05,0.04262539015,-2.442801129e-06,-20.46993053,0.09473347613,110.0937408,-249.9062592,1.209294111,-0.03254635857,0.08896721893,46.87195563,46.13424634,8.283208275,-2.401770815e-06,0.0001647891927,0.179545759,1.052595468e-05,-11.08176706,0.2791975783,-122.9278827,-122.9278827,1.774685461,-0.1517670523,-0.234346004,37.43556104,33.37164176,-16.96333564,1.172786314e-06,-0.0003374748399,0.5083158858,-8.801485283e-06,
16000,1.024757382,1.125221104,103.1574229,-256.8425771,nan,-0.2561310769,1.095682164,39.7256786,-4.789159236,39.43594165,-2.522365012e-07,0.0003922765656,-8.234418551,9.205284436e-06,-12.00404035,0.2510718268,-154.4387404,-154.4387404,1.67048306,-0.2264980397,-0.1083314369,31.71722351,30.90179601,-7.145716935,1.392048416e-06,-7.107976076e-05,0.2312395348,-2.442801129e-06,-19.32682722,0.1080584264,98.31141425,-261.6885858,1.242299338,-0.01562020513,0.10692349,48.4791276,47.3826462,10.25234861,-9.702346579e-07,0.0001019819974,0.2163734918,1.052595468e-05,12.26252987,4.103235972,-166.0531556,-166.0531556,nan,-3.982271548,-0.9889685356,30.92812663,-30.6896847,-3.833049656,2.595109596e-06,-3.812804999e-05,-0.1248970035,-8.801485283e-06,
24000,-7.321165808,0.4304688297,125.1089466,-234.8910534,2.511660299,-0.2475768279,0.3521492973,32.04261585,24.24032728,20.95556642,-3.164531957e-07,0.0001389659159,0.8644918932,5.903092794e-06,-20.09626891,0.09889778265,-70.62092261,-70.62092261,1.219504027,0.03281593336,-0.09329461898,53.36264225,52.43978061,-9.881345889,6.711085753e-07,-6.552771011e-05,0.1884322507,1.81495161e-06,-22.27285002,0.07697638276,121.1880954,-238.8119046,1.166791795,-0.03986216406,0.06585113043,46.18253614,45.7824768,6.065596567,-1.093289982e-06,4.022373652e-05,0.1324872962,1.111016135e-05,-6.272582989,0.4857030722,-47.97398603,-47.97398603,2.888804097,0.3251626386,-0.3608001287,89.73744757,65.24212393,-61.61391695,1.076291898e-07,-0.0004085899769,0.9443885827,-4.319177898e-06,
32000,-6.262754562,0.4862529755,100.5351256,-259.4648744,2.892966586,-0.08890565874,0.4780562101,43.25921532,26.99509551,33.80272961,-1.471358091e-07,0.0001681209846,1.252180404,6.158578476e-06,-20.40245805,0.09547223675,-146.2773333,-146.2773333,1.211098522,-0.07940755845,-0.05300365696,42.66263069,42.42056446,-4.538256061,1.095925815e-06,-2.257143391e-05,0.1069824534,1.457162887e-05,-20.3606005,0.0959334306,39.49122329,-320.5087767,1.212226475,0.07403393992,0.06100982582,57.96313299,57.52851655,7.08481266,-7.020075492e-07,3.523696737e-05,0.1231530567,1.975661202e-05,-6.05761023,0.4978740475,-73.69377445,-73.69377445,2.983064388,0.1397885923,-0.4778469594,62.79846777,38.83715579,-49.34899072,1.007840667e-07,-0.000245441744,1.270664386,-1.133892715e-06,
40000,-6.083538241,0.4963900733,56.18898436,-303.8110156,2.971327597,0.2762189217,0.4124393436,80.50030418,54.29644228,59.43227515,-6.694802727e-08,0.0002364735092,1.094588755,7.606079614e-06,-13.07818324,0.2218660431,162.8157466,-197.1842534,1.570251539,-0.2119618532,0.06554932379,32.57551435,32.27018939,4.449608103,-8.942076437e-07,1.770442811e-05,0.1378860238,2.582644471e-05,-13.18022198,0.2192748897,-20.48248715,-380.4824872,1.561721115,0.2054121533,-0.07672890284,75.65301869,74.68872588,-12.04049266,3.304577056e-07,-4.790759808e-05,0.1612089711,2.634525465e-05,-5.851952719,0.5098029733,-106.9114115,-106.9114115,3.079992108,-0.1482979917,-0.4877568834,39.33485993,23.77459941,-31.3368733,1.26970982e-07,-0.0001246854572,1.318082074,7.282825958e-06,
48000,-13.65550843,0.2075986755,48.93387399,-311.066126,1.52397357,0.136377718,0.1565194178,65.34794106,62.10897695,20.31817863,-1.631902171e-07,6.736955341e-05,0.3271375513,7.203101694e-06,-10.14379052,0.3110358681,59.01146918,-300.9885308,1.90290874,0.1601419429,0.2666418372,67.5460122,58.16509268,34.34073031,-9.655379928e-08,0.0001138645204,0.5904010244,2.528936828e-05,-10.19227579,0.30930448,-115.3485076,-475.3485076,1.895631928,-0.1324203995,-0.2795247738,39.07282467,33.23498903,-20.54558668,1.613839523e-07,-6.812357666e-05,0.6181914688,2.510085177e-05,-13.22501257,0.2181470637,-120.2563878,-120.2563878,1.558025822,-0.1099178222,-0.1884309256,40.40725305,37.57274675,-14.86723918,2.230224416e-07,-4.929572094e-05,0.395692103,7.316346286e-06,
56000,-10.1200272,0.3118879816,41.3820259,-318.6179741,1.906503515,0.2340153197,0.2061818207,78.86060351,71.73104885,32.76662045,-8.673621252e-08,9.312445738e-05,0.45679829,5.483992857e-06,-10.44960911,0.3002752551,-5.166127641,-365.1661276,1.858266789,0.2990554785,-0.02703792901,92.61583538,92.45268493,-5.494907891,5.172156862e-07,-1.561681701e-05,0.05943481138,2.454721333e-05,-10.57885739,0.2958401612,179.2362939,-540.7637061,1.840264226,-0.295813881,0.003943191972,27.17187665,27.17086186,0.2348327391,-1.210245457e-05,6.674069861e-07,0.008642815243,2.405176493e-05,-9.867712422,0.3210808314,-129.5653732,-129.5653732,1.945858789,-0.2045150723,-0.2475206769,33.87472735,29.65721284,-16.36908304,1.736231985e-07,-4.652179429e-05,0.5519427308,5.900867724e-06,
64000,-11.57184883,0.2638806582,4.213940396,-355.7860596,1.716950753,0.2631672907,0.01939017437,85.69644696,85.62209676,3.56897308,-6.967819397e-07,8.87530793e-06,0.04168285075,4.959948261e-06,-9.416996755,0.3381817462,-66.45329948,-426.4532995,2.021977693,0.1351023941,-0.3100229613,64.03461466,52.45634109,-36.72552457,6.771301473e-08,-9.132888707e-05,0.7001160166,2.114531296e-05,-9.606416226,0.3308866068,118.1795673,-601.8204327,1.989029992,-0.1562567155,0.2916672512,37.43190875,31.3120409,20.51106743,-1.212416659e-07,5.100684016e-05,0.655053674,2.187143844e-05,-11.74839195,0.2585713499,-167.7221802,-167.7221802,1.697494897,-0.2526572979,-0.05498575081,29.88215009,29.6767728,-3.497434759,7.110342743e-07,-8.697406719e-06,0.1178509126,4.302307084e-06,
72000,-17.0768303,0.1400098161,-0.4205459942,-360.420546,1.32560794,0.1400060446,-0.001027650537,66.27986666,66.27972102,-0.1389485554,1.590865997e-05,-3.071437421e-07,0.002096396202,4.082467651e-06,-9.596961669,0.3312469717,-127.9317409,-487.9317409,1.990640663,-0.2036248822,-0.2612689488,34.02485334,29.34378755,-17.22303043,1.283447376e-07,-3.807125594e-05,0.5869395829,2.000254249e-05,-9.858174904,0.321433587,56.40806034,-663.5919397,1.947390206,0.177840965,0.2677538833,69.84773013,59.96758483,35.81332397,-6.172242829e-08,7.916482693e-05,0.597211378,2.032475394e-05,-17.70575339,0.1302303869,-168.1510106,-168.1510106,1.2994595,-0.1274554614,-0.02674058753,38.70258298,38.64543424,-2.102460873,1.051380004e-06,-4.647458896e-06,0.05440386203,3.604314231e-06,
