Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Unwrapped Phase,S11_VSWR,S11_Real,S11_Imaginary,S11_Impedance (absolute),S11_Resistance,S11_Reactance,S11_Capacitance,S11_Inductance,S11_Quality Factor,S11_Group delay,S12_Magnitude,S12_Magnitude (linear),S12_Phase,S12_Unwrapped Phase,S12_VSWR,S12_Real,S12_Imaginary,S12_Impedance (absolute),S12_Resistance,S12_Reactance,S12_Capacitance,S12_Inductance,S12_Quality Factor,S12_Group delay,S21_Magnitude,S21_Magnitude (linear),S21_Phase,S21_Unwrapped Phase,S21_VSWR,S21_Real,S21_Imaginary,S21_Impedance (absolute),S21_Resistance,S21_Reactance,S21_Capacitance,S21_Inductance,S21_Quality Factor,S21_Group delay,S22_Magnitude,S22_Magnitude (linear),S22_Phase,S22_Unwrapped Phase,S22_VSWR,S22_Real,S22_Imaginary,S22_Impedance (absolute),S22_Resistance,S22_Reactance,S22_Capacitance,S22_Inductance,S22_Quality Factor,S22_Group delay,
0,-13.27954495,0.2167817674,-133.8216183,-133.8216183,1.553566703,-0.1501030456,-0.1564078334,37.22653674,35.36985466,-11.60984145,inf,-inf,0.3282411409,-2.061469212e-05,-13.45798877,0.2123736159,-132.7455533,-132.7455533,1.539275017,-0.144147265,-0.1559619144,37.66891557,35.80694227,-11.69658434,inf,-inf,0.3266568883,5.420723573e-06,-15.60110016,0.1659376716,-161.9399543,-161.9399543,1.397902329,-0.1577622787,-0.05144292274,36.40538219,36.20332616,-3.830277708,inf,-inf,0.1057990553,1.692985046e-05,-15.82420511,0.1617296864,-161.4078529,-161.4078529,1.385865236,-0.1532893565,-0.05156417977,36.73981296,36.53552128,-3.869049125,inf,-inf,0.1058982872,-1.171911546e-05,
8000,-13.75556913,0.2052208791,-12.74988071,-12.74988071,1.516422422,0.2001607027,-0.04529130491,74.95843976,74.62550964,-7.056982541,2.819104025e-06,-0.0001403942068,0.09456528438,-2.061469212e-05,-17.74977674,0.1295720002,68.33284359,68.33284359,1.297720203,0.04783980826,0.1204170087,54.94880968,53.37103376,13.07304252,-1.521785603e-06,0.0002600799172,0.2449463987,5.420723573e-06,-19.8308006,0.101967077,-61.76919665,-61.76919665,1.227089841,0.04823292592,-0.089838019,55.02501366,54.13987743,-9.829842344,2.023874564e-06,-0.0001955584999,0.1815638086,1.692985046e-05,-13.44860626,0.2126031463,142.3409985,-217.6590015,1.540015229,-0.1683096012,0.1298921705,35.80462229,34.54865271,9.400083679,-2.116403275e-06,0.0001870087229,0.2720824964,-1.171911546e-05,
16000,-12.54641652,0.2358735122,160.6647357,160.6647357,1.617367716,-0.2225696207,0.07809659222,31.88995626,31.46252226,5.203748952,-1.911541859e-06,5.176264802e-05,0.1653951615,-2.061469212e-05,-30.48399793,0.02990887678,86.16899039,86.16899039,1.061661995,0.001998329318,0.029842044,50.20005455,50.11072231,2.99349056,-3.322938136e-06,2.977680124e-05,0.05973752566,5.420723573e-06,-32.18676031,0.02458453421,-118.7686939,-118.7686939,1.050408334,-0.0118319166,-0.02155005967,48.8311806,48.78583407,-2.103946895,4.727868354e-06,-2.092834677e-05,0.04312618479,1.692985046e-05,-14.39300545,0.190699576,-22.88686069,-22.88686069,1.471270174,0.1756866788,-0.07416548502,71.16737562,70.33894602,-10.82718921,9.18722648e-07,-0.0001077000427,0.1539287951,-1.171911546e-05,
24000,-8.287119224,0.3851625371,120.1067573,120.1067573,2.252892221,-0.1932024461,0.3332011327,35.22997698,27.74546361,21.71037834,-3.054509626e-07,0.0001439714179,0.7824838916,-2.210165411e-06,-19.34566678,0.1078243034,-58.28405524,-58.28405524,1.241710918,0.0566841422,-0.09172234418,55.95574473,55.01616151,-10.21113812,6.49433578e-07,-6.771471274e-05,0.1856025182,2.702788325e-05,-22.00150085,0.07941909931,130.4749676,-229.5250324,1.172541271,-0.05155218959,0.06041328566,45.11451661,44.78466117,5.44552412,-1.217781028e-06,3.611175339e-05,0.1215935094,2.977405034e-05,-6.590885797,0.4682261987,-51.05375771,-51.05375771,2.760997618,0.2943227546,-0.3641564076,84.66059726,61.90741212,-57.74849827,1.148333924e-07,-0.0003829566232,0.9328204216,1.94306787e-05,
32000,-7.139529366,0.4395654321,96.60162913,96.60162913,2.568659242,-0.05053481386,0.4366508922,45.92989142,31.16704346,33.73678005,-1.474234342e-07,0.0001677929784,1.082450445,1.09892158e-05,-20.3216617,0.09636446509,-147.4955233,-147.4955233,1.213281708,-0.0812689198,-0.05178293934,42.50264704,42.2723008,-4.419003328,1.125500843e-06,-2.197831947e-05,0.1045366172,3.09468749e-05,-20.93394613,0.08980545004,38.14811685,-321.8518831,1.197332428,0.07062449303,0.05547251428,57.5739314,57.21715702,6.399571787,-7.77175745e-07,3.182885886e-05,0.1118470774,2.944095769e-05,-6.277518365,0.4854271712,-75.95521222,-75.95521222,2.886719018,0.1178036097,-0.4709159671,60.64650052,38.21678794,-47.0900748,1.056186891e-07,-0.000234206818,1.232182958,9.383515007e-06,
40000,-6.634828828,0.4658633642,51.10805447,51.10805447,2.744360274,0.2924940128,0.3625960929,84.42613445,61.93995021,57.36910969,-6.935567937e-08,0.0002282644347,0.9262052923,7.131597703e-06,-13.68115325,0.2069866508,155.9635816,-204.0364184,1.522025641,-0.1890381641,0.08430922929,34.19951875,33.68087788,5.933426305,-6.705861626e-07,2.360835315e-05,0.1761660229,2.534985989e-05,-14.55698438,0.1871331728,-28.97392683,-388.9739268,1.460427629,0.163711629,-0.09064947279,69.38034858,68.18733902,-12.81091588,3.105846307e-07,-5.097301469e-05,0.18787822,2.57218929e-05,-5.822088261,0.5115588318,-110.9265989,-110.9265989,3.094658948,-0.1827143145,-0.477815778,37.10889311,22.68754232,-29.36571762,1.354938309e-07,-0.0001168424779,1.294354285,6.789461649e-06,
48000,-13.78523731,0.2045211069,36.91937965,36.91937965,1.514208758,0.1635108469,0.1228539218,69.19163134,67.023047,17.18700143,-1.929206787e-07,5.698742155e-05,0.2564341999,5.938128051e-06,-9.922455284,0.3190635815,73.41017348,-286.5898265,1.937131787,0.09109846026,0.3057820131,59.08152297,48.83611846,33.25146449,-9.971675029e-08,0.0001102528112,0.6808785288,2.342120149e-05,-9.945582343,0.3182151724,-102.9940373,-462.9940373,1.933476838,-0.07155057071,-0.310066786,43.87484451,36.11244465,-24.91773107,1.330670105e-07,-8.262041814e-05,0.6900039948,2.32044628e-05,-13.43456996,0.2129469882,-128.0730562,-128.0730562,1.541124893,-0.1313171129,-0.1676372144,38.67856876,36.49341385,-12.81649044,2.587079511e-07,-4.249599596e-05,0.3512000957,6.050330799e-06,
56000,-11.00253304,0.2817561134,47.25287512,47.25287512,1.784569472,0.1912458773,0.2069094533,72.41724707,66.0511138,29.69020106,-9.572358736e-08,8.438111179e-05,0.4495034127,4.770369564e-06,-10.5758048,0.2959441504,6.225114032,-353.774886,1.840683734,0.2941991246,0.03209073476,91.61655249,91.39072935,6.42862959,-4.420930644e-07,1.827050315e-05,0.07034225064,2.271645056e-05,-10.67163827,0.2926968756,-169.349213,-529.349213,1.82764197,-0.287654267,-0.05409698368,27.71579645,27.52376735,-3.256931682,8.726165707e-07,-9.256371008e-06,0.1183316092,2.204958261e-05,-10.51653344,0.2979705401,-122.7630835,-122.7630835,1.848883294,-0.1612516768,-0.2505680337,36.84313049,32.28300664,-17.75454158,1.600746796e-07,-5.045934026e-05,0.5499655524,5.337538739e-06,
64000,-11.13950396,0.2773478489,13.02017487,13.02017487,1.767583265,0.2702174562,0.0624848433,86.81471587,86.02988645,11.64703954,-2.135131403e-07,2.896381116e-05,0.1353836442,3.488110869e-06,-9.786480357,0.3240977247,-49.89159103,-409.891591,1.959007645,0.2087953848,-0.2478786446,74.41270729,65.09291819,-36.0577732,6.896698729e-08,-8.966832565e-05,0.5539431047,2.034676019e-05,-9.911927995,0.3194505206,134.1914956,-585.8085044,1.938801749,-0.2226757596,0.2290505211,32.57251111,29.01484023,14.80228113,-1.680008617e-07,3.68102533e-05,0.5101624209,2.010434109e-05,-11.08902798,0.2789642822,-157.1617334,-157.1617334,1.773787693,-0.2570946355,-0.1082747392,29.75053677,28.96271792,-6.801132907,3.656443742e-07,-1.691303001e-05,0.2348237111,3.565620591e-06,
72000,-16.18803345,0.1550951894,-5.635664863,-5.635664863,1.367130563,0.1543455314,-0.01523071662,68.24647976,68.21326106,-2.12908788,1.038231133e-06,-4.706317505e-06,0.03121222834,3.549706792e-06,-9.630772033,0.3299600786,-109.5024243,-469.5024243,1.984896774,-0.110156098,-0.3110293998,40.88094115,33.52151044,-23.39999331,9.446521167e-08,-5.172534171e-05,0.6980590373,1.902785356e-05,-9.878044649,0.3206991195,74.91931714,-645.0806829,1.944203456,0.08343917201,0.3096543716,58.23635563,47.92634786,33.08380718,-6.681472022e-08,7.313127013e-05,0.6903052008,1.891252227e-05,-16.48363345,0.1499057623,-173.2428181,-173.2428181,1.35268034,-0.1488644743,-0.01763819309,37.04605598,37.02195706,-1.336023627,1.654525621e-06,-2.953260615e-06,0.03608733122,3.373733401e-06,
