Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Unwrapped Phase,S11_VSWR,S11_Real,S11_Imaginary,S11_Impedance (absolute),S11_Resistance,S11_Reactance,S11_Capacitance,S11_Inductance,S11_Quality Factor,S11_Group delay,S12_Magnitude,S12_Magnitude (linear),S12_Phase,S12_Unwrapped Phase,S12_VSWR,S12_Real,S12_Imaginary,S12_Impedance (absolute),S12_Resistance,S12_Reactance,S12_Capacitance,S12_Inductance,S12_Quality Factor,S12_Group delay,S21_Magnitude,S21_Magnitude (linear),S21_Phase,S21_Unwrapped Phase,S21_VSWR,S21_Real,S21_Imaginary,S21_Impedance (absolute),S21_Resistance,S21_Reactance,S21_Capacitance,S21_Inductance,S21_Quality Factor,S21_Group delay,S22_Magnitude,S22_Magnitude (linear),S22_Phase,S22_Unwrapped Phase,S22_VSWR,S22_Real,S22_Imaginary,S22_Impedance (absolute),S22_Resistance,S22_Reactance,S22_Capacitance,S22_Inductance,S22_Quality Factor,S22_Group delay,
0,-13.44604341,0.2126658859,-134.3174748,-134.3174748,1.540217633,-0.1485755196,-0.1521581218,37.32548041,35.56276065,-11.33496991,inf,-inf,0.3187314399,1.303019667e-05,-13.57423778,0.2095502152,-133.5695718,-133.5695718,1.530205003,-0.1444293129,-0.1518270932,37.63405682,35.86848315,-11.39184574,inf,-inf,0.317600432,-1.900818174e-07,-16.36491487,0.1519687379,-163.2253411,-163.2253411,1.358403622,-0.1455020484,-0.04385944814,37.31972072,37.17017532,-3.337607112,inf,-inf,0.08979261151,-1.67453952e-05,-16.41348458,0.1511213313,-162.3292114,-162.3292114,1.356049308,-0.1439908775,-0.04587247516,37.43688156,37.27295822,-3.499526689,inf,-inf,0.0938891587,-2.437204275e-06,
8000,-18.50723161,0.1187513128,-122.4159095,-122.4159095,1.269506927,-0.06365797376,-0.1002473773,44.07142324,43.18743351,-8.782706507,2.265175077e-06,-0.0001747263943,0.2033625477,1.303019667e-05,-32.20057285,0.02454547029,-88.62502472,-88.62502472,1.050326221,0.0005889818755,-0.0245384028,50.05889741,49.9986494,-2.455253238,8.102776356e-06,-4.884571117e-05,0.04910639123,-1.900818174e-07,-28.53928457,0.03741414041,41.3917848,41.3917848,1.077736734,0.02806830822,0.02473839074,52.8860703,52.82127668,2.617090214,-7.60171269e-06,5.20653555e-05,0.04954613704,-1.67453952e-05,-27.05976617,0.04436205864,49.50147215,49.50147215,1.092842816,0.02880998565,0.03373391428,52.96298759,52.84238361,3.572190923,-5.569234208e-06,7.106648038e-05,0.06760086655,-2.437204275e-06,
16000,-2.16237184,0.7796171928,114.119447,-245.880553,8.075118089,-0.3185829774,0.7115531279,32.87708176,8.735021425,31.6954556,-3.138362821e-07,0.000315280527,3.628549268,1.303019667e-05,-12.17061682,0.2463026923,-126.8248408,-126.8248408,1.653585172,-0.1476266178,-0.1971583068,37.56650758,34.63833393,-14.54057474,6.84098402e-07,-0.0001446377716,0.4197827403,-1.900818174e-07,-20.74143534,0.09181808544,100.4161345,100.4161345,1.202201969,-0.01660035284,0.09030497827,48.38007024,47.59695062,8.669572542,-1.147367289e-06,8.623783278e-05,0.1821455456,-1.67453952e-05,10.99982235,3.548061323,-115.7804691,-115.7804691,nan,-1.543137644,-3.194912419,39.68098947,-34.74881294,-19.15987797,5.191673954e-07,-0.0001905868305,-0.5513822301,-2.437204275e-06,
24000,-7.136776816,0.439704752,120.4538381,-239.5461619,2.569546605,-0.222861717,0.3790421138,33.76848868,24.60733313,23.12552668,-2.867591323e-07,0.0001533559117,0.9397819161,1.31123409e-05,-22.09472627,0.07857125434,-49.1340174,-49.1340174,1.170542225,0.05140853815,-0.05941888769,55.39931135,55.00744754,-6.577568936,1.008192545e-06,-4.361885874e-05,0.1195759707,8.40990865e-06,-21.70329157,0.08219311149,125.8557402,125.8557402,1.179107637,-0.04814432252,0.06661705327,45.4261192,45.02286286,6.039381201,-1.098035667e-06,4.004989047e-05,0.1341403193,6.577912972e-06,-6.847783809,0.4545805079,-49.50269967,-49.50269967,2.666902318,0.2952101362,-0.3456796402,85.38522577,64.37250382,-56.09650195,1.182151423e-07,-0.0003720014823,0.8714357624,9.459129227e-06,
32000,-6.868208048,0.4535128506,96.61281927,-263.3871807,2.65973839,-0.0522262693,0.4504956409,45.84064426,30.3148638,34.38566124,-1.446414521e-07,0.0001710202487,1.134283877,6.628328879e-06,-21.03059373,0.08881172662,-150.5778973,-150.5778973,1.194936061,-0.07735717846,-0.04362785493,42.83246687,42.66776506,-3.752604885,1.325370542e-06,-1.866392553e-05,0.08794941286,1.728602019e-05,-21.25219432,0.08657455822,35.67637209,35.67637209,1.189560208,0.07032660021,0.05049082524,57.54386747,57.24831624,5.824686383,-8.538815044e-07,2.896961343e-05,0.1017442392,2.012758823e-05,-6.298573223,0.4842519061,-77.73138398,-77.73138398,2.877862126,0.102901193,-0.4731926173,59.16338087,37.20724871,-45.99919869,1.081234481e-07,-0.0002287812453,1.236296697,2.168675305e-06,
40000,-6.132175823,0.493618251,57.51969543,-302.4803046,2.949589423,0.2650777695,0.4164045555,78.83627059,53.00191851,58.36055342,-6.817744768e-08,0.0002322092639,1.101102659,7.125666116e-06,-13.25536387,0.2173861176,162.1488189,-197.8511811,1.555538619,-0.2069202677,0.06663877941,32.92115175,32.60369115,4.560872247,-8.723931218e-07,1.814713407e-05,0.1398882177,2.721588876e-05,-13.2636933,0.2171777527,-20.96028079,-20.96028079,1.554858407,0.2028068041,-0.07768897263,75.24086408,74.25999608,-12.10952563,3.2857386e-07,-4.818227155e-05,0.1630693006,2.658756836e-05,-5.972850191,0.5027562642,-105.7345313,-105.7345313,3.022172339,-0.1363377434,-0.4839172252,40.07791786,24.49248932,-31.72313772,1.254249694e-07,-0.0001262223545,1.295219008,7.001601067e-06,
48000,-13.31444468,0.2159124902,50.13858254,-309.8614175,1.550735696,0.1383854148,0.1657337635,65.55585013,61.92018243,21.52813261,-1.54018374e-07,7.138143168e-05,0.347675536,6.954978907e-06,-10.45894207,0.2999527836,58.61505028,-301.3849497,1.85695015,0.1562110321,0.2560659795,67.14921387,58.51898825,32.93242988,-1.006827614e-07,0.0001091949792,0.562764854,2.505541569e-05,-10.51152259,0.2981424874,-116.0131255,-116.0131255,1.849581239,-0.130758448,-0.267938745,39.13706673,33.7347126,-19.84134971,1.671120175e-07,-6.578851843e-05,0.5881582556,2.488453582e-05,-12.82152059,0.228519871,-118.8934777,-118.8934777,1.592419331,-0.1104168531,-0.2000736115,40.40621705,37.22457555,-15.71602213,2.109775587e-07,-5.211005433e-05,0.4221947974,7.021782017e-06,
56000,-10.1440442,0.311026784,41.08136442,-318.9186356,1.902870465,0.2344448876,0.2043850657,78.95633809,71.9332151,32.55327771,-8.730465117e-08,9.251812611e-05,0.4525486268,5.510977715e-06,-10.68290132,0.2923175797,-5.639289333,-365.6392893,1.826126441,0.2909028359,-0.0287246841,90.97231836,90.79336021,-5.703371838,4.983109354e-07,-1.62092825e-05,0.0628170587,2.457622479e-05,-10.82158712,0.2876872695,178.8395046,-181.1604954,1.807755518,-0.2876282606,0.005826553341,27.66280826,27.66057605,0.3514162454,-8.087425075e-06,9.987434383e-07,0.01270458883,2.408468283e-05,-9.844527601,0.3219390217,-129.7447082,-129.7447082,1.949587226,-0.2058375049,-0.2475391994,33.78791632,29.5764399,-16.33577339,1.73977227e-07,-4.642712651e-05,0.552323858,5.872404226e-06,
64000,-11.72086651,0.2593920579,4.680288522,-355.3197115,1.700484138,0.2585271196,0.0211652585,84.84414086,84.75689796,3.846620227,-6.464885637e-07,9.56575974e-06,0.04538415539,4.761742277e-06,-9.636162376,0.3297553734,-67.48182908,-427.4818291,1.983985131,0.1262885305,-0.3046142041,63.04803666,52.04983795,-35.579057,6.989493808e-08,-8.847785612e-05,0.683557498,2.172435662e-05,-9.854110084,0.3215840466,117.4391636,-242.5608364,1.948043881,-0.1481880282,0.2854060394,37.96520866,32.02559642,20.38916974,-1.219665154e-07,5.070370547e-05,0.6366523038,2.148351183e-05,-11.79308379,0.2572443295,-166.8399566,-166.8399566,1.692675505,-0.2504885563,-0.05856729655,30.02718404,29.79371176,-3.737180925,6.654202823e-07,-9.293606522e-06,0.1254352246,4.656498586e-06,
72000,-17.00327052,0.1412005778,0.8907633439,-359.1092367,1.328832494,0.1411835139,0.002195122106,66.43921699,66.4385504,0.297615195,-7.427326823e-06,6.578740198e-07,0.004479555818,3.961385903e-06,-9.84477598,0.3219298157,-128.7003783,-488.7003783,1.94954718,-0.201285912,-0.2512424883,34.11197833,29.75550616,-16.68043521,1.325196431e-07,-3.687185717e-05,0.5605831444,2.02790237e-05,-10.09956079,0.3126237445,55.49414183,-304.5058582,1.909614616,0.1770983801,0.2576233091,69.87014607,60.67395315,34.64835814,-6.379769315e-08,7.658968705e-05,0.5710581945,2.013170474e-05,-17.39471512,0.13497839,-166.3239127,-166.3239127,1.312080967,-0.1311514667,-0.03191329767,38.41610247,38.3351773,-2.492209833,8.869579483e-07,-5.508993253e-06,0.0650110423,3.722073456e-06,
