Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Unwrapped Phase,S11_VSWR,S11_Real,S11_Imaginary,S11_Impedance (absolute),S11_Resistance,S11_Reactance,S11_Capacitance,S11_Inductance,S11_Quality Factor,S11_Group delay,S12_Magnitude,S12_Magnitude (linear),S12_Phase,S12_Unwrapped Phase,S12_VSWR,S12_Real,S12_Imaginary,S12_Impedance (absolute),S12_Resistance,S12_Reactance,S12_Capacitance,S12_Inductance,S12_Quality Factor,S12_Group delay,S21_Magnitude,S21_Magnitude (linear),S21_Phase,S21_Unwrapped Phase,S21_VSWR,S21_Real,S21_Imaginary,S21_Impedance (absolute),S21_Resistance,S21_Reactance,S21_Capacitance,S21_Inductance,S21_Quality Factor,S21_Group delay,S22_Magnitude,S22_Magnitude (linear),S22_Phase,S22_Unwrapped Phase,S22_VSWR,S22_Real,S22_Imaginary,S22_Impedance (absolute),S22_Resistance,S22_Reactance,S22_Capacitance,S22_Inductance,S22_Quality Factor,S22_Group delay,
0,-13.62266654,0.2083851049,-134.2866469,-134.2866469,1.52648101,-0.1455045806,-0.1491736202,37.54484465,35.84201231,-11.1787975,inf,-inf,0.3118909007,-1.86449442e-05,-13.79324501,0.2043326415,-133.4787245,-133.4787245,1.513613231,-0.1405982618,-0.1482698794,37.91088819,36.21638631,-11.20753347,inf,-inf,0.3094602918,3.171631524e-05,-15.81354993,0.1619282057,-172.1078381,-172.1078381,1.386430391,-0.1603944633,-0.02223420674,36.18363297,36.14596382,-1.65063453,inf,-inf,0.04566580484,1.493108759e-05,-15.99870116,0.1585130206,-171.7914529,-171.7914529,1.376745035,-0.1568890458,-0.02263194718,36.44486564,36.40564524,-1.690333232,inf,-inf,0.04643052528,-1.046499396e-05,
8000,-10.97967809,0.282498467,56.52180851,56.52180851,1.78745049,0.1558316753,0.2356307977,67.29549086,59.89742628,30.67542037,-6.485442627e-07,0.0006102680979,0.5121325285,-1.86449442e-05,-23.40650458,0.06755768683,108.9266606,-251.0733394,1.144904807,-0.02191284994,0.06390514891,47.86424188,47.47451831,6.095552676,-3.263751286e-06,0.0001212671674,0.1283963038,3.171631524e-05,-26.71198955,0.04617432151,-84.74399628,-84.74399628,1.096819204,0.004229843199,-0.04598017391,50.4238811,50.21111337,-4.627297162,4.299349532e-06,-9.205715206e-05,0.09215683245,1.493108759e-05,-12.66343595,0.2327170497,-156.9565517,-156.9565517,1.606600341,-0.2141481587,-0.0910922135,32.48765549,31.90126191,-6.144692625,3.23765062e-06,-0.0001222447756,0.1926159737,-1.046499396e-05,
16000,-6.953658189,0.4490731511,-178.2886974,181.7113026,2.630246019,-0.4488728593,-0.01341086194,19.02398355,19.0132558,-0.6387912092,1.557188609e-05,-6.354173659e-06,0.03359715012,-1.86449442e-05,-34.23376492,0.01942279624,28.27577711,-331.7242229,1.039615027,0.01710522361,0.009200887946,51.7401405,51.73137585,0.9523084386,-1.044533844e-05,9.472787209e-06,0.01840872049,3.171631524e-05,-27.09600477,0.04417736022,-173.9774758,-173.9774758,1.092438405,-0.04393353327,-0.004635063165,45.791626,45.78965087,-0.4253058918,2.338830507e-05,-4.230595938e-06,0.00928825365,1.493108759e-05,-10.00293928,0.3161207737,-6.895020374,-6.895020374,1.924492985,0.3138345185,-0.03795047495,95.63121506,95.29299058,-8.035872029,1.23784748e-06,-7.993429722e-05,0.08432804952,-1.046499396e-05,
24000,-7.022499013,0.4455280473,123.0646322,123.0646322,2.607035469,-0.2430733065,0.3733773006,32.513409,23.78858026,22.16360111,-2.992048056e-07,0.0001469769447,0.9316907888,1.845048163e-06,-23.47448628,0.06703099806,-60.86808079,-420.8680808,1.143693945,0.03263216985,-0.05855165405,53.36136976,52.99597017,-6.234013812,1.063753813e-06,-4.134058806e-05,0.1176318462,2.68809123e-05,-21.93814133,0.08000054278,137.328067,-222.671933,1.173914326,-0.05882013602,0.05422433443,44.46018411,44.19769741,4.824055827,-1.374664017e-06,3.199051377e-05,0.1091472205,2.437571547e-05,-6.908757485,0.4514005935,-52.36277433,-52.36277433,2.6456474,0.2756521934,-0.3574609966,82.00503598,61.01828556,-54.78681186,1.210410998e-07,-0.0003633163301,0.8978753066,-1.412882336e-06,
32000,-6.572593912,0.4692132898,100.9291377,100.9291377,2.767991854,-0.08896039648,0.4607028969,43.17055498,27.88959954,32.95249695,-1.50932173e-07,0.0001638922743,1.181533529,1.165750719e-05,-20.52152441,0.09417243054,-145.2962933,-505.2962933,1.207925733,-0.07741983414,-0.05361544511,42.83356537,42.58505808,-4.607293223,1.07950411e-06,-2.291479658e-05,0.1081903708,2.655972834e-05,-20.26282198,0.09701947071,41.84846891,-318.1515311,1.214887182,0.07227095683,0.06472778767,57.75488847,57.26792655,7.484098536,-6.645545817e-07,3.722285239e-05,0.1306856907,2.512597067e-05,-6.422699092,0.4773809071,-73.39242863,-73.39242863,2.82687894,0.1364426253,-0.4574668737,62.6794041,40.42416669,-47.90192528,1.038286445e-07,-0.000238244631,1.184982381,9.915565578e-06,
40000,-6.974225656,0.4480110411,70.34419739,70.34419739,2.623260878,0.1506969889,0.4219055706,64.61948013,44.43836356,46.91384717,-8.481234896e-08,0.0001866642669,1.055706003,7.386612871e-06,-14.646587,0.1852126519,168.6275587,-551.3724413,1.454628198,-0.1815762112,0.03652130815,34.65062951,34.55193475,2.613413535,-1.52248143e-06,1.039844206e-05,0.07563725603,2.536580059e-05,-14.35843271,0.1914601365,-3.667271405,-363.6672714,1.473594798,0.191068087,-0.01224622431,73.61525444,73.59147346,-1.871021383,2.126578356e-06,-7.444557544e-06,0.0254244316,2.646232679e-05,-6.942701411,0.4496399899,-103.362342,-103.362342,2.633984962,-0.1039156191,-0.4374673298,41.98825598,28.29147928,-31.02588984,1.282436571e-07,-0.0001234480933,1.096651382,6.583990604e-06,
48000,-13.74756084,0.2054101775,40.20341641,40.20341641,1.517021919,0.1568835719,0.1325929331,68.21827649,65.74493495,18.20265849,-1.821562483e-07,6.03550641e-05,0.2768678456,6.888162712e-06,-10.18762431,0.3094701637,71.0678693,-648.9321307,1.896326697,0.1004069507,0.2927289301,60.18237423,50.51792029,32.70868231,-1.013714937e-07,0.0001084530931,0.6474669211,2.412834997e-05,-10.29469273,0.3056788309,-105.2937843,-465.2937843,1.880511338,-0.08062841871,-0.2948535327,43.09741311,36.12668623,-23.49999061,1.410948641e-07,-7.791957642e-05,0.6504884079,2.443400322e-05,-13.42084891,0.2132836453,-124.1793809,-124.1793809,1.542212308,-0.1198197017,-0.1764458909,39.59349426,37.13673302,-13.72981603,2.414983547e-07,-4.552433518e-05,0.3697098509,6.369517307e-06,
56000,-10.90588818,0.2849086213,47.0602675,47.0602675,1.796845354,0.1940879287,0.2085732447,72.80593021,66.2937207,30.09727677,-9.442889392e-08,8.553804235e-05,0.4539989074,6.067959068e-06,-10.80200048,0.2883367346,5.682309415,-714.3176906,1.810317881,0.2869199022,0.0285489446,90.18665092,90.0122762,5.605545196,-5.070073393e-07,1.593125405e-05,0.06227534101,2.361267204e-05,-10.87927972,0.2857827519,-170.1583122,-530.1583122,1.800268413,-0.2815771143,-0.04884782466,28.07318923,27.91566443,-2.969786735,9.569887701e-07,-8.440289979e-06,0.1063842397,2.384947503e-05,-10.52396829,0.2977155955,-121.7787629,-121.7787629,1.847849087,-0.1567891617,-0.2530844416,37.17317339,32.49739839,-18.04893121,1.57463759e-07,-5.129601107e-05,0.5553961889,5.637040371e-06,
64000,-11.30122978,0.2722315847,13.38155961,13.38155961,1.748126956,0.2648406101,0.06300386454,85.81700887,85.03315198,11.57247059,-2.148889442e-07,2.87783734e-05,0.1360936331,3.918278746e-06,-9.967591536,0.3174098671,-51.27190823,-771.2719082,1.930015984,0.1985796184,-0.2476189792,72.95462825,63.90449328,-35.19365741,7.066034531e-08,-8.751944598e-05,0.5507227365,2.063923832e-05,-10.15876148,0.3105002298,133.2443429,-586.7556571,1.900653613,-0.212727145,0.2261803582,33.19930855,29.68692347,14.86205448,-1.67325183e-07,3.695889742e-05,0.5006262941,2.045109137e-05,-11.29839967,0.2723202998,-155.9052674,-155.9052674,1.748461994,-0.2485934984,-0.1111738199,30.29781482,29.46015842,-7.075072355,3.514870041e-07,-1.759426153e-05,0.2401573086,3.891360013e-06,
72000,-16.26812779,0.1536715992,-3.623484799,-3.623484799,1.363148865,0.1533643954,-0.009711982445,68.11250306,68.0990289,-1.354745406,1.631661057e-06,-2.994644832e-06,0.01989375513,3.677464637e-06,-9.896101678,0.3200331131,-110.2250299,-830.2250299,1.9413197,-0.1106380556,-0.3003005397,40.79428944,33.90423186,-22.68649627,9.743617058e-08,-5.014816699e-05,0.6691346487,1.918462032e-05,-10.12753057,0.3116186715,73.63122461,-646.3687754,1.905366426,0.08781994255,0.2989880501,58.76262088,48.99223078,32.44698655,-6.812605902e-08,7.172358748e-05,0.6622884085,1.910761962e-05,-16.65768451,0.1469317916,-168.6727801,-168.6727801,1.344478414,-0.1440697746,-0.02885916562,37.41661064,37.35167434,-2.20344641,1.003194501e-06,-4.870685944e-06,0.05899190461,3.366860363e-06,
