Record Length,Analog:14000
Sample Interval,CH1:0.0000000010000
Vertical Units,CH1:V,,,
Vertical Scale,CH1:0.01,,,
Vertical Offset,CH1:-0.00100,,,
Horizontal Units,us,,,
Horizontal Scale,1.0000000000,,,
Model Number,SDS1204X-E,,,
Serial Number,SDSMMFCX5R6567,,,
Software Version,8.1.6.1.26,,,
Source,CH1
Second,Volt
 0.00000000000,-0.00020
 0.00000000100,-0.00020
 0.00000000200,0.00060
 0.00000000300,0.00060
 0.00000000400,0.00020
 0.00000000500,-0.00060
 0.00000000600,-0.00020
 0.00000000700,0.00140
 0.00000000800,0.00260
 0.00000000900,0.00220
 0.00000001000,0.00220
 0.00000001100,0.00300
 0.00000001200,0.00340
 0.00000001300,0.00300
 0.00000001400,0.00180
 0.00000001500,0.00100
 0.00000001600,0.00180
 0.00000001700,0.00260
 0.00000001800,0.00220
 0.00000001900,0.00180
 0.00000002000,0.00220
 0.00000002100,0.00260
 0.00000002200,0.00220
 0.00000002300,0.00140
 0.00000002400,0.00140
 0.00000002500,0.00140
 0.00000002600,0.00100
 0.00000002700,0.00140
 0.00000002800,0.00140
 0.00000002900,0.00220
 0.00000003000,0.00300
 0.00000003100,0.00180
 0.00000003200,0.00020
 0.00000003300,0.00020
 0.00000003400,0.00140
 0.00000003500,0.00180
 0.00000003600,0.00140
 0.00000003700,0.00060
 0.00000003800,-0.00020
 0.00000003900,-0.00020
 0.00000004000,0.00100
 0.00000004100,0.00060
 0.00000004200,0.00140
 0.00000004300,0.00140
 0.00000004400,0.00100
 0.00000004500,0.00060
 0.00000004600,0.00140
 0.00000004700,0.00140
 0.00000004800,0.00180
 0.00000004900,0.00100
 0.00000005000,-0.00020
 0.00000005100,0.00180
 0.00000005200,0.00380
 0.00000005300,0.00380
 0.00000005400,0.00260
 0.00000005500,0.00260
 0.00000005600,0.00260
 0.00000005700,0.00260
 0.00000005800,0.00260
 0.00000005900,0.00260
 0.00000006000,0.00340
 0.00000006100,0.00220
 0.00000006200,0.00260
 0.00000006300,0.00260
 0.00000006400,0.00180
 0.00000006500,0.00220
 0.00000006600,0.00260
 0.00000006700,0.00380
 0.00000006800,0.00420
 0.00000006900,0.00300
 0.00000007000,0.00340
 0.00000007100,0.00380
 0.00000007200,0.00460
 0.00000007300,0.00500
 0.00000007400,0.00340
 0.00000007500,0.00380
 0.00000007600,0.00380
 0.00000007700,0.00380
 0.00000007800,0.00500
 0.00000007900,0.00420
 0.00000008000,0.00340
 0.00000008100,0.00420
 0.00000008200,0.00420
 0.00000008300,0.00380
 0.00000008400,0.00500
 0.00000008500,0.00540
 0.00000008600,0.00380
 0.00000008700,0.00420
 0.00000008800,0.00460
 0.00000008900,0.00380
 0.00000009000,0.00500
 0.00000009100,0.00460
 0.00000009200,0.00300
 0.00000009300,0.00380
 0.00000009400,0.00500
 0.00000009500,0.00380
 0.00000009600,0.00500
 0.00000009700,0.00500
 0.00000009800,0.00460
 0.00000009900,0.00420
 0.00000010000,0.00460
 0.00000010100,0.00300
 0.00000010200,0.00220
 0.00000010300,0.00300
 0.00000010400,0.00340
 0.00000010500,0.00460
 0.00000010600,0.00580
 0.00000010700,0.00580
 0.00000010800,0.00460
 0.00000010900,0.00460
 0.00000011000,0.00460
 0.00000011100,0.00500
 0.00000011200,0.00620
 0.00000011300,0.00460
 0.00000011400,0.00420
 0.00000011500,0.00340
 0.00000011600,0.00300
 0.00000011700,0.00340
 0.00000011800,0.00340
 0.00000011900,0.00260
 0.00000012000,0.00300
 0.00000012100,0.00260
 0.00000012200,0.00220
 0.00000012300,0.00300
 0.00000012400,0.00220
 0.00000012500,0.00380
 0.00000012600,0.00340
 0.00000012700,0.00300
 0.00000012800,0.00300
 0.00000012900,0.00180
 0.00000013000,0.00260
 0.00000013100,0.00300
 0.00000013200,0.00340
 0.00000013300,0.00380
 0.00000013400,0.00340
 0.00000013500,0.00340
 0.00000013600,0.00300
 0.00000013700,0.00260
 0.00000013800,0.00300
 0.00000013900,0.00340
 0.00000014000,0.00260
 0.00000014100,0.00220
 0.00000014200,0.00220
 0.00000014300,0.00340
 0.00000014400,0.00300
 0.00000014500,0.00260
 0.00000014600,0.00180
 0.00000014700,0.00140
 0.00000014800,0.00260
 0.00000014900,0.00260
 0.00000015000,0.00300
 0.00000015100,0.00340
 0.00000015200,0.00380
 0.00000015300,0.00460
 0.00000015400,0.00460
 0.00000015500,0.00500
 0.00000015600,0.00420
 0.00000015700,0.00540
 0.00000015800,0.00420
 0.00000015900,0.00260
 0.00000016000,0.00300
 0.00000016100,0.00380
 0.00000016200,0.00340
 0.00000016300,0.00340
 0.00000016400,0.00540
 0.00000016500,0.00460
 0.00000016600,0.00380
 0.00000016700,0.00420
 0.00000016800,0.00500
 0.00000016900,0.00460
 0.00000017000,0.00380
 0.00000017100,0.00420
 0.00000017200,0.00460
 0.00000017300,0.00340
 0.00000017400,0.00420
 0.00000017500,0.00460
 0.00000017600,0.00420
 0.00000017700,0.00420
 0.00000017800,0.00420
 0.00000017900,0.00380
 0.00000018000,0.00340
 0.00000018100,0.00300
 0.00000018200,0.00340
 0.00000018300,0.00380
 0.00000018400,0.00260
 0.00000018500,0.00260
 0.00000018600,0.00140
 0.00000018700,0.00260
 0.00000018800,0.00340
 0.00000018900,0.00220
 0.00000019000,0.00220
 0.00000019100,0.00220
 0.00000019200,0.00100
 0.00000019300,0.00220
 0.00000019400,0.00220
 0.00000019500,0.00060
 0.00000019600,0.00060
 0.00000019700,0.00100
 0.00000019800,0.00060
 0.00000019900,0.00100
 0.00000020000,0.00340
 0.00000020100,0.00380
 0.00000020200,0.00220
 0.00000020300,0.00180
 0.00000020400,0.00260
 0.00000020500,0.00220
 0.00000020600,0.00220
 0.00000020700,0.00060
 0.00000020800,0.00140
 0.00000020900,0.00100
 0.00000021000,0.00100
 0.00000021100,0.00100
 0.00000021200,0.00020
 0.00000021300,0.00100
 0.00000021400,0.00260
 0.00000021500,0.00140
 0.00000021600,0.00100
 0.00000021700,0.00100
 0.00000021800,0.00140
 0.00000021900,0.00020
 0.00000022000,0.00020
 0.00000022100,0.00020
 0.00000022200,0.00100
 0.00000022300,0.00140
 0.00000022400,0.00060
 0.00000022500,-0.00060
 0.00000022600,0.00020
 0.00000022700,0.00060
 0.00000022800,0.00100
 0.00000022900,0.00140
 0.00000023000,0.00100
 0.00000023100,0.00140
 0.00000023200,0.00060
 0.00000023300,-0.00100
 0.00000023400,-0.00100
 0.00000023500,-0.00140
 0.00000023600,-0.00060
 0.00000023700,-0.00180
 0.00000023800,-0.00180
 0.00000023900,-0.00140
 0.00000024000,0.00020
 0.00000024100,0.00060
 0.00000024200,0.00020
 0.00000024300,-0.00020
