Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Unwrapped Phase,S11_VSWR,S11_Real,S11_Imaginary,S11_Impedance (absolute),S11_Resistance,S11_Reactance,S11_Capacitance,S11_Inductance,S11_Quality Factor,S11_Group delay,S12_Magnitude,S12_Magnitude (linear),S12_Phase,S12_Unwrapped Phase,S12_VSWR,S12_Real,S12_Imaginary,S12_Impedance (absolute),S12_Resistance,S12_Reactance,S12_Capacitance,S12_Inductance,S12_Quality Factor,S12_Group delay,S21_Magnitude,S21_Magnitude (linear),S21_Phase,S21_Unwrapped Phase,S21_VSWR,S21_Real,S21_Imaginary,S21_Impedance (absolute),S21_Resistance,S21_Reactance,S21_Capacitance,S21_Inductance,S21_Quality Factor,S21_Group delay,S22_Magnitude,S22_Magnitude (linear),S22_Phase,S22_Unwrapped Phase,S22_VSWR,S22_Real,S22_Imaginary,S22_Impedance (absolute),S22_Resistance,S22_Reactance,S22_Capacitance,S22_Inductance,S22_Quality Factor,S22_Group delay,
0,-12.83464597,0.2281748121,-133.385157,-133.385157,1.591260341,-0.1567331099,-0.1658266478,36.77251308,34.70946371,-12.14375753,inf,-inf,0.3498687743,1.03679153e-05,-13.06383091,0.2222329516,-132.2413096,-132.2413096,1.571464045,-0.1493971077,-0.1645235211,37.30766971,35.25535597,-12.20336406,inf,-inf,0.3461421314,-1.883373844e-05,-16.01703481,0.1581787938,-91.3138053,-91.3138053,1.3758014,-0.003626757995,-0.1581372108,49.64742013,47.22483687,-15.31930511,inf,-inf,0.3243908528,3.492654986e-05,-16.25926783,0.1538284303,-89.86082973,-89.86082973,1.363586856,0.0003736457239,-0.1538279765,50.03651418,47.72322042,-15.03818421,inf,-inf,0.3151125191,-2.171571277e-06,
8000,-25.76297942,0.05150519421,159.9748142,-200.0251858,1.108604062,-0.04839130279,0.01763708721,45.38560506,45.35724534,1.604194968,-1.240146509e-05,3.191444485e-05,0.03536799811,1.03679153e-05,-25.71929097,0.05176490858,-89.53057272,-89.53057272,1.109181592,0.0004241078203,-0.0517631712,50.04231535,49.77486252,-5.166854594,3.850382767e-06,-0.0001027913061,0.1038044975,-1.883373844e-05,-24.5898291,0.05895335764,147.4655536,-212.5344464,1.125293168,-0.04970170509,0.03170550249,45.2697003,45.17832801,2.874794526,-6.920274721e-06,5.71922199e-05,0.06363215845,3.492654986e-05,-11.89612698,0.2542105971,-75.1251831,-75.1251831,1.681722202,0.06525789877,-0.2456917466,56.55627729,50.06796555,-26.30230649,7.563735103e-07,-0.0005232677615,0.5253320401,-2.171571277e-06,
16000,-8.7355965,0.3657801848,174.8929354,-185.1070646,2.153480784,-0.364328073,0.03256069424,23.32005484,23.25442983,1.748270917,-5.68972683e-06,1.739037239e-05,0.07518012396,1.03679153e-05,-29.8757296,0.03207846067,-98.53140121,-98.53140121,1.066283184,-0.004758885306,-0.03172350311,49.52683938,49.42724939,-3.139241366,3.168658533e-06,-3.122661131e-05,0.06351236221,-1.883373844e-05,-29.84759274,0.03218254335,22.88104619,-337.1189538,1.0665054,0.02965023032,0.01251319059,53.05512953,53.03848816,1.328737617,-7.486191264e-06,1.321719749e-05,0.02505232829,3.492654986e-05,-11.13912414,0.2773599771,-10.80016145,-10.80016145,1.767629714,0.2724470229,-0.05197284485,87.29749395,86.74920742,-9.76869804,1.018271207e-06,-9.717103629e-05,0.112608499,-2.171571277e-06,
24000,-7.476467125,0.4228405643,118.207742,-241.792258,2.465246995,-0.1998639842,0.3726238461,35.12625452,26.01185791,23.60586801,-2.809240465e-07,0.0001565412742,0.907504112,9.794565443e-06,-23.29645032,0.06841911996,116.4613391,116.4613391,1.146888201,-0.0304871388,0.06125120688,47.0522248,46.6998419,5.747749582,-1.15374824e-06,3.811594823e-05,0.1230785662,-8.743795944e-06,-21.69190483,0.08230093302,-41.67838844,-401.6783884,1.179363663,0.06146966562,-0.05472589683,56.52865398,56.18851675,-6.191874252,1.07099332e-06,-4.106114142e-05,0.110198215,2.967065558e-05,-7.215545356,0.4357352875,-51.41162061,-51.41162061,2.544435716,0.2717772831,-0.340591176,81.88440869,62.67378762,-52.69774884,1.258394544e-07,-0.0003494628007,0.8408259791,5.011121919e-06,
32000,-6.493622698,0.4734987808,98.20039885,-261.7996012,2.798661669,-0.06753788863,0.4686573685,44.75638154,28.5371921,34.47843319,-1.442522618e-07,0.0001714816585,1.208192911,1.172555642e-05,-19.99782744,0.1000250156,35.96856796,35.96856796,1.222283991,0.08095417887,0.05874882704,58.77533111,58.36569458,6.927138236,-7.179865339e-07,3.445275912e-05,0.1186850989,5.602624531e-06,-19.86736925,0.1015386856,-139.6841523,-499.6841523,1.226027952,-0.07742217167,-0.06569560118,42.8429702,42.47033074,-5.638359901,8.820990606e-07,-2.804290154e-05,0.1327599716,2.649593597e-05,-5.742584451,0.5162627346,-70.4469846,-70.4469846,3.134475764,0.1727822628,-0.4864910079,66.15213468,39.820983,-52.8241823,9.415369544e-08,-0.000262725929,1.326541394,1.052469648e-05,
40000,-7.280512518,0.4324883109,57.27934013,-302.7206599,2.524156486,0.2337788403,0.3638593038,75.82372212,56.49526766,50.57194448,-7.867748845e-08,0.0002012193736,0.8951536398,7.004077646e-06,-15.53712652,0.1671643539,-30.86989572,-30.86989572,1.401434196,0.1434829508,-0.08577041479,66.60630267,65.59277421,-11.57529812,3.437383241e-07,-4.605664784e-05,0.1764721535,2.494754955e-05,-15.32546534,0.171287919,161.4907125,-558.5092875,1.413383424,-0.1624275732,0.05437678403,36.06327317,35.83902856,4.01543324,-9.908952133e-07,1.597690122e-05,0.1120407947,2.612720752e-05,-7.115211049,0.4407978297,-117.4619272,-117.4619272,2.576524031,-0.2032779286,-0.391127614,35.0741264,25.16453612,-24.4323651,1.628525753e-07,-9.721329192e-05,0.9709046484,6.846538209e-06,
48000,-13.69265914,0.2067126444,36.50912394,-323.4908761,1.521154517,0.1661477952,0.1229838506,69.56061024,67.37213961,17.31107455,-1.915379644e-07,5.739881428e-05,0.2569470801,6.167137455e-06,-9.854812273,0.32155805,-105.543577,-105.543577,1.947930917,-0.08616829661,-0.3097976827,42.71487112,35.14051101,-24.28383621,1.365405347e-07,-8.051859521e-05,0.6910496038,2.327867302e-05,-9.825915268,0.32262962,79.7550178,-640.2449822,1.952594414,0.05738205418,0.3174857029,55.49785333,45.27882329,32.09111848,-1.033222941e-07,0.0001064054195,0.7087445333,2.351366411e-05,-13.72501094,0.2059441466,-129.3306375,-129.3306375,1.518714511,-0.1305262827,-0.1592980887,38.71202863,36.73234799,-12.22111991,2.713113041e-07,-4.052190925e-05,0.3327072889,6.057912695e-06,
56000,-11.04895937,0.2802541367,48.19466135,-311.8053386,1.77875859,0.186817948,0.2089053265,71.76525284,65.3602739,29.63589226,-9.589900416e-08,8.422676333e-05,0.4534236241,5.176879959e-06,-10.51825394,0.2979115237,-172.0273018,-172.0273018,1.848643821,-0.2950319924,-0.04132069045,27.25101611,27.13963666,-2.461300622,1.15469542e-06,-6.995145721e-06,0.09069025692,2.204793567e-05,-10.61022059,0.2947738613,12.37023822,-707.6297618,1.835969755,0.2879302996,0.06314880727,90.19036362,89.33981666,12.35713754,-2.299927913e-07,3.511963433e-05,0.1383161283,2.263127775e-05,-10.67814608,0.2924776577,-120.5599444,-120.5599444,1.826765857,-0.148707207,-0.2518518351,37.74541131,33.06163629,-18.21110323,1.560615257e-07,-5.175691247e-05,0.5508228047,4.763174298e-06,
64000,-11.04384133,0.2804193209,13.93595889,-346.0640411,1.779396471,0.2721653249,0.06753540907,87.14256008,86.22099107,12.63987643,-1.967421121e-07,3.143279397e-05,0.1465985983,4.270254288e-06,-9.707036864,0.3270756076,131.3343796,-228.6656204,1.9721021,-0.2160178487,0.2455905986,33.11175256,29.01277895,15.95765695,-1.558371629e-07,3.968343725e-05,0.5500216639,2.074885104e-05,-9.873919318,0.3208514705,-43.7206783,-763.7206783,1.944863919,0.2318850549,-0.2217543403,78.28076003,70.17276592,-34.69380801,7.167838092e-08,-8.627642248e-05,0.4944055939,2.09033248e-05,-11.07000386,0.2795759485,-156.1319188,-156.1319188,1.77614274,-0.2556664772,-0.1131254322,29.85840819,28.99779185,-7.117064527,3.494131571e-07,-1.76986875e-05,0.2454347064,3.948591054e-06,
72000,-15.97704134,0.1589087946,-5.981148744,-365.9811487,1.377863408,0.1580437321,-0.016558494,68.76474713,68.72509404,-2.334929772,9.467031286e-07,-5.161327987e-06,0.03397492292,4.004494316e-06,-9.557624791,0.3327505335,73.20085237,-286.7991476,1.997379691,0.0961707457,0.3185500043,59.55817753,48.41545447,34.68602426,-6.372841419e-08,7.667294746e-05,0.7164246342,1.918214579e-05,-9.784709528,0.3241638066,-102.661839,-822.661839,1.959296971,-0.07105554431,-0.3162803869,43.93491088,35.87727154,-25.35937264,8.716640399e-08,-5.605652097e-05,0.7068367119,1.924239056e-05,-16.57915573,0.1482662193,-172.6509964,-172.6509964,1.348151553,-0.1470482723,-0.01896516261,37.18439645,37.15646321,-1.441034817,1.533956914e-06,-3.18538631e-06,0.0387828844,3.591546113e-06,
