Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Unwrapped Phase,S11_VSWR,S11_Real,S11_Imaginary,S11_Impedance (absolute),S11_Resistance,S11_Reactance,S11_Capacitance,S11_Inductance,S11_Quality Factor,S11_Group delay,S12_Magnitude,S12_Magnitude (linear),S12_Phase,S12_Unwrapped Phase,S12_VSWR,S12_Real,S12_Imaginary,S12_Impedance (absolute),S12_Resistance,S12_Reactance,S12_Capacitance,S12_Inductance,S12_Quality Factor,S12_Group delay,S21_Magnitude,S21_Magnitude (linear),S21_Phase,S21_Unwrapped Phase,S21_VSWR,S21_Real,S21_Imaginary,S21_Impedance (absolute),S21_Resistance,S21_Reactance,S21_Capacitance,S21_Inductance,S21_Quality Factor,S21_Group delay,S22_Magnitude,S22_Magnitude (linear),S22_Phase,S22_Unwrapped Phase,S22_VSWR,S22_Real,S22_Imaginary,S22_Impedance (absolute),S22_Resistance,S22_Reactance,S22_Capacitance,S22_Inductance,S22_Quality Factor,S22_Group delay,
0,-12.91234274,0.226142851,-133.4586882,-133.4586882,1.584456321,-0.1555481497,-0.1641504255,36.85297411,34.82725431,-12.05006463,inf,-inf,0.3459952519,1.159305958e-05,-13.1675553,0.2195948926,-132.1875731,-132.1875731,1.562771541,-0.147471124,-0.1627088948,37.44411574,35.43044506,-12.11385019,inf,-inf,0.3419051093,1.88434897e-05,-15.72556362,0.1635768419,-91.08716756,-91.08716756,1.391134177,-0.003103627652,-0.1635473959,49.69863352,47.10919331,-15.83281652,inf,-inf,0.3360876169,7.901905955e-06,-16.03439049,0.1578630449,-89.4440492,-89.4440492,1.374910622,0.001531748239,-0.1578556134,50.14967443,47.71112914,-15.44791254,inf,-inf,0.323780066,1.216851448e-07,
8000,-30.86412947,0.02862816598,-156.4665854,-156.4665854,1.058943784,-0.02624708612,-0.01143076363,47.44274622,47.43033278,-1.085219261,1.833211831e-05,-2.158975122e-05,0.0228802793,1.159305958e-05,-24.8429424,0.05726020254,-88.66990318,-88.66990318,1.121476154,0.001329151526,-0.05724477401,50.13265676,49.80516296,-5.720927978,3.47747218e-06,-0.0001138142459,0.1148661632,1.88434897e-05,-34.88452196,0.01802079316,79.63217045,79.63217045,1.036703004,0.003243145573,0.01772656179,50.32526724,50.29364899,1.78364619,-1.115376357e-05,3.548451348e-05,0.03546464068,7.901905955e-06,-23.45511383,0.06718066653,-14.09339411,-14.09339411,1.144037895,0.06515853494,-0.01635870656,56.96800591,56.93726362,-1.87128554,1.063139081e-05,-3.722804295e-05,0.03286574417,1.216851448e-07,
16000,-13.79339867,0.2043290269,156.3763608,-203.6236392,1.513601812,-0.1872057384,0.08188017296,34.32312125,33.83263232,5.781837311,-1.720419204e-06,5.751299926e-05,0.170895284,1.159305958e-05,-36.15692248,0.01556517028,-143.1830893,-143.1830893,1.031622551,-0.01246076766,-0.009327582493,48.76936498,48.76087684,-0.9098626388,1.093262161e-05,-9.050571031e-06,0.01865968575,1.88434897e-05,-33.1253614,0.02206642254,-15.5738831,-15.5738831,1.045128673,0.02125625488,-0.005924409856,52.17171169,52.16804619,-0.6184309048,1.608455183e-05,-6.151645966e-06,0.01185459203,7.901905955e-06,-14.72905844,0.1834624032,-25.48889621,-25.48889621,1.449366701,0.1656057689,-0.07895050791,69.69616662,68.78395543,-11.23935577,8.850315045e-07,-0.0001117999392,0.1634008352,1.216851448e-07,
24000,-7.351469466,0.4289696106,120.1493801,-239.8506199,2.502440566,-0.2154526368,0.370938119,34.14472175,25.26394409,22.96943954,-2.887077829e-07,0.0001523208268,0.9091786878,1.232692469e-05,-20.54463774,0.09392216886,116.4574156,-243.5425844,1.207315896,-0.04184538257,0.08408530051,46.01065267,45.36236216,7.696509495,-8.616186294e-07,5.103906378e-05,0.1696672997,2.742777501e-05,-21.51677205,0.08397720145,-54.28423831,-54.28423831,1.183351772,0.04902291641,-0.06818301863,55.12986714,54.6172116,-7.500829842,8.840963069e-07,-4.974142278e-05,0.1373345439,2.370925962e-05,-6.801429116,0.4570129897,-52.45587716,-52.45587716,2.683329365,0.2784910114,-0.3623584265,82.29294227,60.68145388,-55.58677454,1.192991681e-07,-0.0003686212474,0.9160422334,9.039744087e-06,
32000,-6.397825797,0.4787499153,101.2932711,-258.7067289,2.836929832,-0.09375406421,0.4694801986,42.87454566,27.20382897,33.13877419,-1.500837642e-07,0.0001648187413,1.218165804,1.033634037e-05,-20.72919167,0.0919476039,33.90251583,-326.0974842,1.202516076,0.07631538892,0.05128667738,58.23846405,57.92932426,5.992669324,-8.299460062e-07,2.980509204e-05,0.1034479411,2.794290744e-05,-20.05060706,0.09941905867,-137.9164089,-137.9164089,1.220788725,-0.07378562545,-0.06663205463,43.15690709,42.77123121,-5.756770812,8.639551815e-07,-2.863182909e-05,0.134594461,2.396305697e-05,-6.176922254,0.4910818546,-72.01507376,-72.01507376,2.92990507,0.1516297597,-0.4670865058,64.16144553,40.45405162,-49.80121284,9.986889251e-08,-0.0002476909123,1.231056244,9.172209272e-06,
40000,-7.366513828,0.4282272586,53.56724383,-306.4327562,2.497893228,0.2543151546,0.3445321278,79.1772536,60.513042,51.06083857,-7.79241722e-08,0.0002031646214,0.8437989049,7.254279463e-06,-15.34478754,0.1709073039,-32.17266594,-392.1726659,1.412275502,0.144664024,-0.09100344323,66.74753166,65.60449277,-12.29973623,3.234925938e-07,-4.89390955e-05,0.1874831389,2.541046183e-05,-15.08649387,0.1760659225,159.3900948,-200.6099052,1.427378664,-0.1647974739,0.06197581521,35.8996243,35.60947201,4.555055224,-8.735072095e-07,1.812398887e-05,0.1279169549,2.590929307e-05,-7.223115852,0.4353556724,-121.0026202,-121.0026202,2.542052762,-0.2242418127,-0.3731623922,33.63060458,24.73920757,-22.78133388,1.746549872e-07,-9.064404742e-05,0.9208594825,6.678482006e-06,
48000,-13.89748906,0.2018949922,40.82412758,-319.1758724,1.505935911,0.1527779441,0.1319866951,67.66114039,65.23605655,17.95234928,-1.846960489e-07,5.952510684e-05,0.275190596,6.547871584e-06,-9.969755366,0.3173308037,-111.2459157,-471.2459157,1.929676644,-0.1149916708,-0.2957630042,40.44557098,33.79098233,-22.22641954,1.491795822e-07,-7.369676118e-05,0.6577618644,2.366767898e-05,-10.07670008,0.3134476339,72.52092991,-287.4790701,1.913106267,0.09414631343,0.2989747329,59.45270387,49.54908784,32.85592628,-1.009171969e-07,0.0001089413141,0.6630985091,2.417183025e-05,-13.66508104,0.2073700098,-123.2953382,-123.2953382,1.523245429,-0.1138367647,-0.1733306435,40.05152027,37.65703419,-13.64082298,2.430738955e-07,-4.522925845e-05,0.3622383779,6.114038754e-06,
56000,-10.67997547,0.2924160636,45.92232757,-314.0776724,1.826519791,0.2034142336,0.2100709495,74.1431702,67.37303404,30.95293156,-9.181852613e-08,8.796985823e-05,0.4594261191,5.06589461e-06,-10.61343366,0.2946648393,-176.879019,-536.879019,1.835531406,-0.2942277925,-0.01604286831,27.27109914,27.25428057,-0.9576214148,2.96782477e-06,-2.721610389e-06,0.03513655083,2.250714169e-05,-10.68713237,0.2921752213,7.403272041,-352.596728,1.825558048,0.2897395918,0.03764742841,90.70477346,90.39897461,7.441862568,-3.819007042e-07,2.115016453e-05,0.08232242236,2.298514226e-05,-10.35501362,0.3035633377,-122.9858858,-122.9858858,1.871761509,-0.1652697229,-0.2546303569,36.58318549,31.90607957,-17.89780844,1.587933274e-07,-5.08665122e-05,0.5609529179,4.701667154e-06,
64000,-11.24048251,0.2741421877,10.82637842,-349.1736216,1.755360576,0.2692626975,0.05149309491,86.70451995,86.17190337,9.595668266,-2.591581865e-07,2.386246933e-05,0.1113549532,3.626379981e-06,-9.699348413,0.3273652518,125.4411151,-594.5588849,1.973381922,-0.1898279641,0.2667083653,34.97521047,30.02480556,17.93812696,-1.386318645e-07,4.460846211e-05,0.5974435678,2.027355162e-05,-9.871719145,0.3209327539,-49.99735315,-409.9973532,1.945216415,0.2063029548,-0.2458392226,74.08239052,64.96325766,-35.60864698,6.983685697e-08,-8.855144036e-05,0.5481351807,2.003001355e-05,-11.31813396,0.2717022918,-159.065599,-159.065599,1.746129746,-0.2537672553,-0.09707891406,29.92082925,29.28428154,-6.138963928,4.050839873e-07,-1.526635085e-05,0.2096334144,3.626478028e-06,
72000,-16.52242203,0.1492378207,-4.382763975,-364.382764,1.350833228,0.1488014174,-0.01140461784,67.47866738,67.4603128,-1.573769043,1.404580508e-06,-3.478793367e-06,0.0233288133,3.5662211e-06,-9.637074095,0.3297207623,65.38097832,-654.6190217,1.983831048,0.1373559415,0.2997484386,64.39678592,53.43405594,35.94089179,-6.150335204e-08,7.944681373e-05,0.6726214427,1.916349787e-05,-9.865481691,0.3211633028,-110.3368122,-470.3368122,1.946216679,-0.1116165057,-0.3011438572,40.7245259,33.80836907,-22.70421085,9.736014767e-08,-5.01873248e-05,0.6715559334,1.905737059e-05,-17.17492272,0.138437537,-170.8214968,-170.8214968,1.321363901,-0.1366650079,-0.02208228404,37.98192179,37.94347649,-1.708500582,1.29381596e-06,-3.776615456e-06,0.04502751829,3.270099691e-06,
