Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Unwrapped Phase,S11_VSWR,S11_Real,S11_Imaginary,S11_Impedance (absolute),S11_Resistance,S11_Reactance,S11_Capacitance,S11_Inductance,S11_Quality Factor,S11_Group delay,S12_Magnitude,S12_Magnitude (linear),S12_Phase,S12_Unwrapped Phase,S12_VSWR,S12_Real,S12_Imaginary,S12_Impedance (absolute),S12_Resistance,S12_Reactance,S12_Capacitance,S12_Inductance,S12_Quality Factor,S12_Group delay,S21_Magnitude,S21_Magnitude (linear),S21_Phase,S21_Unwrapped Phase,S21_VSWR,S21_Real,S21_Imaginary,S21_Impedance (absolute),S21_Resistance,S21_Reactance,S21_Capacitance,S21_Inductance,S21_Quality Factor,S21_Group delay,S22_Magnitude,S22_Magnitude (linear),S22_Phase,S22_Unwrapped Phase,S22_VSWR,S22_Real,S22_Imaginary,S22_Impedance (absolute),S22_Resistance,S22_Reactance,S22_Capacitance,S22_Inductance,S22_Quality Factor,S22_Group delay,
0,-12.91187906,0.2261549236,-133.585698,-133.585698,1.58449664,-0.1559199694,-0.1638139573,36.8244659,34.80791287,-12.01875578,inf,-inf,0.3452880335,1.25865743e-05,-13.11327594,0.220971469,-132.3956932,-132.3956932,1.567300067,-0.148989323,-0.163188761,37.33308117,35.31209685,-12.11671432,inf,-inf,0.3431321106,1.470196768e-05,-15.81514142,0.1618985388,-92.43442468,-92.43442468,1.386345917,-0.00687679313,-0.1617524237,49.33431611,46.81836035,-15.55364524,inf,-inf,0.3322125151,3.192003543e-06,-16.03056189,0.1579326438,-91.03095782,-91.03095782,1.375106914,-0.002841624799,-0.1579070776,49.72351723,47.30412918,-15.3214728,inf,-inf,0.3238929257,1.934605906e-06,
8000,-20.81438186,0.09105020059,-129.2610588,-129.2610588,1.200341538,-0.05762155499,-0.07049748526,44.57734563,44.13353418,-6.274623855,3.17060725e-06,-0.0001248296753,0.1421736095,1.25865743e-05,-31.27423605,0.0273078933,135.4405121,-224.5594879,1.0561491,-0.019457484,0.01916056766,48.09207572,48.05675013,1.842963561,-1.079477007e-05,3.666459509e-05,0.03834973352,1.470196768e-05,-30.81265698,0.02879831987,-64.98230283,-64.98230283,1.05930451,0.01217875695,-0.0260963811,51.23204126,51.16228788,-2.672517559,7.444055071e-06,-5.31680475e-05,0.05223608384,3.192003543e-06,-27.73227715,0.04105689883,42.84451135,42.84451135,1.085629478,0.03010299236,0.02791914741,53.10123619,53.0183682,2.965454049,-6.708708872e-06,5.89958338e-05,0.05593257864,1.934605906e-06,
16000,-13.63261017,0.2081466816,139.2307446,-220.7692554,1.525720299,-0.157638967,0.1359227617,36.60188599,35.20804004,10.00459768,-9.942612649e-07,9.951757339e-05,0.2841566207,1.25865743e-05,-26.38624787,0.04793884946,100.0134042,-259.9865958,1.1007054,-0.008335538397,0.04720860183,49.17516005,48.95642856,4.632976283,-2.147039686e-06,4.608506729e-05,0.09463468678,1.470196768e-05,-29.75269632,0.03253607675,-69.81216871,-69.81216871,1.067260548,0.01122816333,-0.03053726639,51.13449657,51.03919308,-3.120498218,3.187690954e-06,-3.104016977e-05,0.06113925456,3.192003543e-06,-6.922444679,0.4506898382,-48.04049782,-48.04049782,2.640930278,0.3013335556,-0.3351408935,86.7088624,66.35632197,-55.81456219,1.782184353e-07,-0.0005551977168,0.8411340553,1.934605906e-06,
24000,-7.357933497,0.4286504906,119.9404592,-240.0595408,2.500484322,-0.2139393621,0.3714447367,34.24207623,25.32416989,23.04791106,-2.877248157e-07,0.0001528412072,0.9101151652,1.380938423e-05,-21.58591569,0.08331135833,102.8614499,-257.1385501,1.181765879,-0.01854462687,0.08122117484,48.19102183,47.55893907,7.779582198,-8.524180082e-07,5.158995675e-05,0.1635777069,1.425266595e-05,-22.650729,0.07369933174,-62.55910915,-62.55910915,1.159126155,0.03396310504,-0.06540717846,53.50019664,53.04334398,-6.976725655,9.505112126e-07,-4.626584894e-05,0.1315287675,1.231556425e-05,-6.726551317,0.4609697578,-50.81135362,-50.81135362,2.710366958,0.2912756016,-0.3572836989,84.40289429,62.50630927,-56.7169275,1.169219888e-07,-0.0003761158071,0.9073792416,1.239846344e-05,
32000,-6.208372847,0.4893069198,100.566873,-259.433127,2.916246524,-0.08973057667,0.4810090284,43.21570096,26.80203554,33.90055605,-1.46711221e-07,0.0001686075334,1.264850052,8.65507551e-06,-20.94341497,0.08970760282,32.18550324,-327.8144968,1.197096237,0.07592205298,0.04778384535,58.19561172,57.92739238,5.580899147,-8.911811235e-07,2.775711519e-05,0.0963430066,2.011319006e-05,-20.16570147,0.09811037288,-139.6108725,-139.6108725,1.217566252,-0.07472687241,-0.06357310601,43.07309095,42.72245556,-5.484793066,9.067966489e-07,-2.727912276e-05,0.1283819713,2.062511886e-05,-5.918257681,0.5059261365,-72.06135038,-72.06135038,3.047977737,0.1558244701,-0.4813314764,64.42155703,39.39579799,-50.97164026,9.757567043e-08,-0.0002535121408,1.293834441,7.441735444e-06,
40000,-7.53106445,0.4201910304,51.21574406,-308.7842559,2.44941197,0.2632033069,0.3275431594,80.92171031,63.32650722,50.37932793,-7.897829806e-08,0.0002004529767,0.7955488174,7.262046517e-06,-14.8879488,0.1801368484,-35.88392719,-395.8839272,1.439431503,0.1459479734,-0.1055863306,66.86401305,65.32620049,-14.25776177,2.790671945e-07,-5.672983158e-05,0.2182548758,2.523253639e-05,-14.68719538,0.1843487644,152.5729239,-207.4270761,1.452028407,-0.1636275596,0.08491459628,36.02709811,35.48293566,6.238034593,-6.378408965e-07,2.482035102e-05,0.1758037907,2.602801421e-05,-7.380718189,0.4275275348,-123.6829359,-123.6829359,2.49361781,-0.2371053284,-0.3557539265,32.69648881,24.65977421,-21.46988395,1.853234786e-07,-8.542595394e-05,0.8706439794,6.993062741e-06,
48000,-13.3268742,0.21560374,48.96001487,-311.0399851,1.549731688,0.1415623023,0.1626194553,65.98834973,62.45510425,21.30310429,-1.556452964e-07,7.063529898e-05,0.3410946879,6.996028986e-06,-10.38542972,0.3025021836,-120.2438442,-480.2438442,1.867392489,-0.1523646519,-0.2613284981,37.53328963,32.53360677,-18.7166306,1.771541071e-07,-6.205925578e-05,0.575301433,2.441515119e-05,-10.36918216,0.3030685647,65.62010314,-294.3798969,1.869722757,0.12510212,0.276043501,63.13792651,53.95077654,32.79804072,-1.010953066e-07,0.0001087493813,0.607925276,2.482843717e-05,-13.15102561,0.2200131908,-118.7656971,-118.7656971,1.564145927,-0.1058767155,-0.1928624517,40.74082458,37.75690283,-15.30460963,2.166489745e-07,-5.074592239e-05,0.4053460025,6.636855973e-06,
56000,-10.12586425,0.3116784587,41.17041848,-318.8295815,1.905618784,0.2346174828,0.2051782112,78.97146074,71.89395781,32.67645087,-8.697555822e-08,9.28681907e-05,0.454509,5.15040299e-06,-10.65375004,0.2933002937,175.7275996,-544.2724004,1.830056362,-0.2924852519,0.02185039369,27.37945912,27.34821553,1.307627269,-2.173442404e-06,3.716345422e-06,0.04781398874,2.314512453e-05,-10.73026289,0.2907279967,0.02199834779,-359.9780017,1.819792676,0.2907279752,0.0001116231506,90.98962873,90.98962603,0.02218853375,-0.0001280865418,6.306097905e-08,0.000243857841,2.350819908e-05,-9.970789604,0.3172930211,-128.1592837,-128.1592837,1.929514509,-0.1960394244,-0.2494862828,34.44889349,30.12302474,-16.71315778,1.700488078e-07,-4.749967277e-05,0.5548299987,4.591157111e-06,
64000,-11.55301665,0.2644534078,4.846718444,-355.1532816,1.719066367,0.2635078011,0.02234376003,85.75272044,85.65390764,4.115479246,-6.042542891e-07,1.023435727e-05,0.04804776991,4.102546555e-06,-9.611754926,0.330683293,114.8015626,-605.1984374,1.988122034,-0.1387139828,0.3001830628,38.72647804,32.11212093,21.64605716,-1.148844784e-07,5.382932805e-05,0.6740774676,2.045364335e-05,-9.779528721,0.3243572159,-60.86490508,-420.8649051,1.960144098,0.1579199579,-0.2833176493,67.08642239,56.6777948,-35.89172114,6.928606115e-08,-8.925538806e-05,0.6332589557,2.051289155e-05,-11.84051962,0.2558432827,-165.3939025,-165.3939025,1.687605921,-0.2475750263,-0.06451659987,30.22576207,29.94171212,-4.13407398,6.015364016e-07,-1.028059858e-05,0.1380707276,3.864904703e-06,
72000,-16.85426383,0.1436437745,-0.893410777,-360.8934108,1.335476687,0.1436263121,-0.002239740813,66.77135286,66.77065444,-0.3053993883,7.238014892e-06,-6.750808649e-07,0.004573856448,3.636315353e-06,-9.779064783,0.3243745411,53.30357623,-666.6964238,1.960220006,0.1938381493,0.260087706,72.12084867,62.35039052,36.24700836,-6.098393829e-08,8.012347989e-05,0.5813437263,1.961952814e-05,-9.987776278,0.3166731092,-122.7026388,-482.7026388,1.926856863,-0.1710918549,-0.2664759562,36.24766159,31.1868152,-18.47364416,1.196561599e-07,-4.083571925e-05,0.5923543025,1.958865224e-05,-17.76439473,0.1293541193,-166.4814956,-166.4814956,1.297145194,-0.1257702956,-0.03023774017,38.83727931,38.76402991,-2.384166364,9.271522969e-07,-5.27016475e-06,0.06150460541,3.317124599e-06,
80000,-16.83636034,0.1439401606,10.91525912,-349.0847409,1.336285278,0.141336041,0.02725607027,66.44547658,66.34276979,3.693000825,-5.387046695e-07,7.346991701e-06,0.05566546041,2.15808263e-06,-11.10655375,0.2784019755,6.435703327,-713.5642967,1.771626213,0.2766475602,0.03120556731,88.18952901,87.98838927,5.952846403,-3.341992476e-07,1.184281163e-05,0.06765490824,1.878276383e-05,-11.35701726,0.2704887066,-168.4032167,-528.4032167,1.741561396,-0.2649670954,-0.05437443133,29.10594982,28.90764221,-3.391833818,5.865372231e-07,-6.747838978e-06,0.1173334647,1.875553398e-05,-17.15530914,0.1387504955,-155.2592189,-155.2592189,1.322207432,-0.1260146603,-0.05806897107,38.84273965,38.57322984,-4.567752537,4.355395291e-07,-9.087254938e-06,0.1184176839,1.803109612e-06,
88000,-16.70382834,0.1461532856,-14.22679293,-374.2267929,1.342340804,0.1416708421,-0.03591873315,66.48014312,66.30175417,-4.866911061,3.716071397e-07,-8.802192648e-06,0.0734054645,1.663931768e-06,-10.45937974,0.2999376698,-52.61067597,-772.610676,1.856888471,0.182130493,-0.2383088108,70.77934691,62.70052108,-32.83840139,5.507512005e-08,-5.939083982e-05,0.5237341066,1.795662017e-05,-10.7801295,0.2890636783,131.714562,-588.285438,1.813191476,-0.1923487801,0.2157771001,34.49565335,31.20854207,14.69615603,-1.230647589e-07,2.657915769e-05,0.4709017164,1.791716196e-05,-17.21100421,0.1378636554,179.0067802,-180.9932198,1.319818684,-0.1378429418,0.002389740569,37.8856535,37.88520386,0.1845798127,-9.798356994e-06,3.338271544e-07,0.004872081813,1.382264924e-06,
96000,-20.15916777,0.09818420123,-19.56298035,-379.5629804,1.217747796,0.09251641967,-0.03287627507,60.18259878,60.05039399,-3.986900814,4.158277489e-07,-6.609739293e-06,0.06639258378,2.142078935e-06,-10.86154724,0.2863667811,-102.7131105,-822.7131105,1.802560121,-0.06302057172,-0.2793462741,44.47838639,37.99496246,-23.12379041,7.169516593e-08,-3.833609945e-05,0.6086014807,1.761111087e-05,-11.24073627,0.2741341788,81.84680517,-638.1531948,1.755330175,0.03887780072,0.2713633443,53.75680265,46.36334796,27.20723794,-6.093466724e-08,4.510590007e-05,0.5868264295,1.759631533e-05,-21.10133716,0.08809132498,175.8971812,-184.1028188,1.193202077,-0.08786557019,0.006302627353,41.92341964,41.92003709,0.5325453401,-3.11309454e-06,8.828877427e-07,0.01270383752,1.868184863e-06,
104000,-20.30707405,0.09652644184,-9.614908503,-369.6149085,1.21367851,0.09517049727,-0.01612235787,60.51501034,60.48298187,-1.968598689,7.773732655e-07,-3.012617426e-06,0.03254797677,1.504975138e-06,-11.23655053,0.2742663163,-150.6973473,-870.6973473,1.75583185,-0.2391730125,-0.1342321957,30.99180845,29.76303469,-8.640252146,1.771170523e-07,-1.322248883e-05,0.2903014506,1.665694038e-05,-11.66274202,0.2611336861,34.16521807,-685.8347819,1.706849619,0.2160676628,0.1466477655,76.79188749,73.24905078,23.05581367,-6.63752758e-08,3.528314147e-05,0.3147592143,1.653085763e-05,-20.80471393,0.09115160152,-171.9643105,-171.9643105,1.200587032,-0.09025660089,-0.01274207421,41.72276953,41.70900012,-1.07182372,1.427787017e-06,-1.640250414e-06,0.02569766037,1.352827213e-06,
