Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Unwrapped Phase,S11_VSWR,S11_Real,S11_Imaginary,S11_Impedance (absolute),S11_Resistance,S11_Reactance,S11_Capacitance,S11_Inductance,S11_Quality Factor,S11_Group delay,S12_Magnitude,S12_Magnitude (linear),S12_Phase,S12_Unwrapped Phase,S12_VSWR,S12_Real,S12_Imaginary,S12_Impedance (absolute),S12_Resistance,S12_Reactance,S12_Capacitance,S12_Inductance,S12_Quality Factor,S12_Group delay,S21_Magnitude,S21_Magnitude (linear),S21_Phase,S21_Unwrapped Phase,S21_VSWR,S21_Real,S21_Imaginary,S21_Impedance (absolute),S21_Resistance,S21_Reactance,S21_Capacitance,S21_Inductance,S21_Quality Factor,S21_Group delay,S22_Magnitude,S22_Magnitude (linear),S22_Phase,S22_Unwrapped Phase,S22_VSWR,S22_Real,S22_Imaginary,S22_Impedance (absolute),S22_Resistance,S22_Reactance,S22_Capacitance,S22_Inductance,S22_Quality Factor,S22_Group delay,
0,-13.08133768,0.221785483,-134.8002816,-134.8002816,1.569985468,-0.156278412,-0.1573717205,36.77454379,34.91148356,-11.55661657,inf,-inf,0.3310262238,-2.153173317e-05,-13.31734227,0.2158404741,-133.6161127,-133.6161127,1.55050144,-0.1488917597,-0.1562637327,37.31594597,35.45945101,-11.62356044,inf,-inf,0.3277986577,1.765442096e-05,-15.67060192,0.1646151886,-97.4657353,-97.4657353,1.394106252,-0.02138898701,-0.1632197033,47.95914701,45.46796627,-15.25594394,inf,-inf,0.3355316983,7.672123067e-06,-15.89252908,0.160462497,-96.24487321,-96.24487321,1.382264036,-0.01745477778,-0.1595103247,48.32633241,45.92677374,-15.03881171,inf,-inf,0.3274519519,3.586098211e-06,
8000,-12.21773175,0.2449702878,-39.51217287,-39.51217287,1.648902378,0.188991987,-0.1558604208,72.60190054,68.91151607,-22.85254725,8.705536267e-07,-0.0004546369821,0.3316216005,-2.153173317e-05,-19.39462203,0.1072182954,-110.9739569,-110.9739569,1.240189276,-0.03837809891,-0.1001143566,46.33941939,45.41706667,-9.199556739,2.162535484e-06,-0.0001830193661,0.2025572634,1.765442096e-05,-16.38595717,0.1516010263,91.09295065,91.09295065,1.357381447,-0.002891703252,0.151573445,49.71812087,47.48489283,14.73351608,-1.350279714e-06,0.0002931139892,0.3102779685,7.672123067e-06,-14.6963495,0.1841545803,99.67276562,99.67276562,1.451444786,-0.03094180479,0.1815365367,47.09173854,44.08150025,16.56662834,-1.200870055e-06,0.0003295825989,0.3758181607,3.586098211e-06,
16000,8.366193376,2.62005054,-39.21382447,-39.21382447,nan,2.029994115,-1.656438566,88.51849203,-77.07179147,-43.53690838,2.284770397e-07,-0.000433069636,-0.5648877177,-2.153173317e-05,-13.74887302,0.2053791486,-152.3240051,-152.3240051,1.516923633,-0.1818813716,-0.09539266933,34.73239479,34.06322928,-6.78495831,1.466064121e-06,-6.749122835e-05,0.199187172,1.765442096e-05,-12.68032138,0.2322650856,82.8541444,82.8541444,1.60506584,0.02889276195,0.2304610125,52.82083801,47.48491516,23.13490351,-4.299643583e-07,0.0002301271408,0.4872053248,7.672123067e-06,5.353712768,1.85219044,87.8785503,87.8785503,nan,0.06856405707,1.850920959,51.57221526,-28.30581118,43.11002714,-2.307394498e-07,0.0004288233697,-1.523009775,3.586098211e-06,
24000,-8.12387572,0.3924697729,119.2334584,119.2334584,2.29201727,-0.1916701985,0.3424836604,35.40143379,27.51341157,22.27720132,-2.976790427e-07,0.0001477302795,0.8096851699,-1.095859731e-05,-24.87686098,0.05703703631,126.2719224,-233.7280776,1.120974075,-0.03374414674,0.04598430245,46.74240625,46.54469639,4.294622159,-1.544130244e-06,2.847959772e-05,0.09226877585,2.506137364e-05,-21.59339969,0.08323960596,-40.33038688,-40.33038688,1.181595118,0.06345564899,-0.05387218774,56.75449368,56.42337395,-6.12171754,1.083267223e-06,-4.059590028e-05,0.1084961269,2.866970035e-05,-7.040372992,0.4446121744,-51.05212172,-51.05212172,2.601087218,0.2794890659,-0.3457829487,82.92100163,62.80864926,-54.13839755,1.224908062e-07,-0.0003590163992,0.8619576791,2.018593523e-05,
32000,-6.856746247,0.454111696,95.88386045,95.88386045,2.663753162,-0.04655205101,0.4517193144,46.27872422,30.54604062,34.76578371,-1.430599699e-07,0.0001729108228,1.138143701,-2.974770479e-06,-20.33263852,0.09624276107,33.53728582,-326.4627142,1.212983657,0.08022088859,0.05317215523,58.69485642,58.35962218,6.264237337,-7.939660815e-07,3.115576053e-05,0.1073385519,2.716298896e-05,-20.45307115,0.09491753308,-142.2326387,-142.2326387,1.209743391,-0.07503269227,-0.05813289239,43.04242193,42.74921377,-5.015456834,9.916528316e-07,-2.494483584e-05,0.1173227854,3.12086629e-05,-5.838826735,0.5105739622,-72.52224378,-72.52224378,3.086419286,0.1533434954,-0.4870026111,64.0888151,38.74817477,-51.04855702,9.742864955e-08,-0.0002538946933,1.317444172,1.710708716e-05,
40000,-6.630853629,0.4660766208,50.74278592,50.74278592,2.745855825,0.2949346032,0.3608891745,84.85997482,62.38641426,57.52521746,-6.916746695e-08,0.0002288855678,0.9220792402,6.999997767e-06,-13.67262401,0.2071900042,-24.78838283,-384.7883828,1.522672533,0.1881000367,-0.08686814175,72.94684767,71.7738599,-13.02902993,3.053852511e-07,-5.184086293e-05,0.1815289013,2.57193622e-05,-14.55353501,0.1872075026,150.7926571,-209.2073429,1.460652634,-0.1634058559,0.09135193083,36.05725879,35.42781609,6.707887799,-5.931634065e-07,2.668983752e-05,0.1893395794,2.62982409e-05,-5.77725813,0.5142059451,-110.8043046,-110.8043046,3.116970926,-0.1826342248,-0.4806792006,37.13922472,22.56866255,-29.49538071,1.348981936e-07,-0.000117358391,1.30691753,6.845835833e-06,
48000,-13.77829045,0.2046847457,37.86820664,37.86820664,1.514726065,0.1615832204,0.125645167,68.90703007,66.65263375,17.48156764,-1.896699455e-07,5.796412298e-05,0.2622787227,5.871105231e-06,-9.946531752,0.3181803919,-107.9408936,-467.9408936,1.933327197,-0.09801092597,-0.3027088043,41.76694564,34.64073559,-23.33446349,1.420957453e-07,-7.737073351e-05,0.6736133945,2.348520081e-05,-9.955561666,0.3178497811,77.8878766,-282.1121234,1.931905531,0.06669297353,0.310774083,56.47328146,46.45163286,32.11662068,-1.03240251e-07,0.0001064899779,0.6913991761,2.313951691e-05,-13.67020924,0.2072476135,-128.5874133,-128.5874133,1.522855855,-0.1292619733,-0.1619966528,38.81757875,36.76782283,-12.44715328,2.663844421e-07,-4.127137441e-05,0.3385338679,6.265930587e-06,
56000,-10.95124122,0.283424859,47.44131741,47.44131741,1.791054121,0.1916929794,0.208766502,72.46019704,65.97881292,29.95457228,-9.487875601e-08,8.51324687e-05,0.4540028982,4.795578689e-06,-10.57320454,0.2960327593,-173.3478037,-533.3478037,1.841041293,-0.2940397619,-0.03429304564,27.29995743,27.22314504,-2.046472539,1.388756751e-06,-5.816182509e-06,0.07517399389,2.258536871e-05,-10.67570672,0.2925598092,10.91468645,-349.0853136,1.827094115,0.2872674638,0.05539536292,90.1168853,89.46262205,10.83938528,-2.621968388e-07,3.080610264e-05,0.1211610507,2.204179611e-05,-10.58892933,0.2954973112,-121.5995729,-121.5995729,1.838881997,-0.1548345504,-0.251684173,37.30488186,32.66604634,-18.01620457,1.577497938e-07,-5.120300023e-05,0.5515269397,5.292318083e-06,
64000,-11.09080002,0.2789073756,12.99067938,12.99067938,1.773568793,0.2717692004,0.06269629882,87.1029308,86.30875825,11.73536555,-2.119061375e-07,2.918345995e-05,0.1359695793,3.826981467e-06,-9.731948222,0.3261388901,129.6301045,-590.3698955,1.967970655,-0.2080207598,0.2511850695,33.6690824,29.34933896,16.49919429,-1.507222681e-07,4.103013013e-05,0.562165789,2.055544676e-05,-9.905713586,0.3196791566,-45.50269681,-405.5026968,1.939789394,0.2240553501,-0.2280218481,76.97715561,68.63072255,-34.86124507,7.133411273e-08,-8.66928043e-05,0.5079539276,2.050307631e-05,-11.12738616,0.2777350507,-157.3540101,-157.3540101,1.76906695,-0.2563220824,-0.1069380589,29.79411486,29.02485582,-6.7265909,3.696963325e-07,-1.672765925e-05,0.2317527757,3.72314776e-06,
72000,-16.12084363,0.1562995827,-5.874783576,-5.874783576,1.370509673,0.1554786911,-0.01599800449,68.40455877,68.36779846,-2.24227447,9.858228107e-07,-4.956514802e-06,0.03279723087,3.727806703e-06,-9.617736369,0.3304556499,71.19680869,-648.8031913,1.987106082,0.1065119436,0.3128196644,60.73314186,49.69994847,34.90601155,-6.332678018e-08,7.715922614e-05,0.7023349647,1.916545335e-05,-9.8366338,0.3222317352,-104.9139201,-464.9139201,1.950861089,-0.08293199819,-0.3113769016,42.97483513,35.29056562,-24.52371165,9.013665437e-08,-5.420930461e-05,0.6949084329,1.91001081e-05,-16.73081307,0.1456999311,-172.6303866,-172.6303866,1.341097786,-0.1444963519,-0.01868887905,37.37861167,37.35138577,-1.426391164,1.549704861e-06,-3.15301673e-06,0.03818844026,3.466518472e-06,
