DateTime,Quad Color,Wire Pair,Temp [C],Humidity ,Loop Resistance [kohms],ADC Threshold,ADC Threshold 2,Loop Resistance 2 [kohms]
2024-08-14 08:10:00,Pink,WP0,32,30.0,0.151632,0x0054,,0.152045
2024-08-14 08:10:00,Pink,WP1,32,30.0,0.151878,0x0053,,0.152292
2024-08-14 08:10:00,White,WP0,32,30.0,0.155803,,,0.156218
2024-08-14 08:10:00,White,WP1,32,30.0,0.155879,,,0.156295
2024-08-14 08:10:00,Brown,WP0,32,30.0,0.153855,0x004e,,0.154261
2024-08-14 08:10:00,Brown,WP1,32,30.0,0.15418,0x004e,,0.154589
2024-08-14 16:38:00,Pink,WP0,34,28.0,0.152213,0x0053,0x0053,0.154448
2024-08-14 16:38:00,Pink,WP1,34,28.0,0.152458,0x0053,0x0051,0.154771
2024-08-14 16:38:00,White,WP0,34,28.0,0.156466,0x003c,0x003c,0.156483
2024-08-14 16:38:00,White,WP1,34,28.0,0.15639,0x003c,0x003c,0.156407
2024-08-14 16:38:00,Brown,WP0,34,28.0,0.154431,0x004d,0x004d,0.154453
2024-08-14 16:38:00,Brown,WP1,34,28.0,0.154758,0x004e,0x004e,0.15478
2024-08-15 08:53:00,Pink,WP0,31,30.0,0.152144,0x0055,0x0056,0.152187
2024-08-15 08:53:00,Pink,WP1,31,30.0,0.152392,0x0057,0x0056,0.152433
2024-08-15 08:53:00,White,WP0,31,30.0,0.156332,0x0043,0x0043,0.156369
2024-08-15 08:53:00,White,WP1,31,30.0,0.156407,0x0042,0x0043,0.156447
2024-08-15 08:53:00,Brown,WP0,31,30.0,0.154365,0x0052,0x0052,0.154408
2024-08-15 08:53:00,Brown,WP1,31,30.0,0.154685,0x0052,0x0051,0.154734
2024-08-15 16:14:00,Pink,WP0,34,26.0,0.152477,0x0057,0x0057,0.152496
2024-08-15 16:14:00,Pink,WP1,34,26.0,0.152724,0x0056,0x0057,0.152742
2024-08-15 16:14:00,White,WP0,34,26.0,0.156655,0x0043,0x0043,0.15669
2024-08-15 16:14:00,White,WP1,34,26.0,0.156735,0x0044,0x0044,0.156766
2024-08-15 16:14:00,Brown,WP0,34,26.0,0.154702,0x0053,0x0053,0.154719
2024-08-15 16:14:00,Brown,WP1,34,26.0,0.155029,0x0052,0x0052,0.15506
2024-08-13 08:41:00,Pink,WP0,24,,0.149314,,,
2024-08-13 08:41:00,Pink,WP1,24,,0.149074,,,
2024-08-13 08:41:00,White,WP0,24,,0.153229,,,
2024-08-13 08:41:00,White,WP1,24,,0.153151,,,
2024-08-13 08:41:00,Brown,WP0,24,,0.151554,,,
2024-08-13 08:41:00,Brown,WP1,24,,0.151237,,,
2024-08-13 11:00:00,Pink,WP0,28,38.0,0.149691,0x0058,,
2024-08-13 11:00:00,Pink,WP1,28,38.0,0.14945,0x005a,,
2024-08-13 11:00:00,White,WP0,28,38.0,0.153558,0x0049,,
2024-08-13 11:00:00,White,WP1,28,38.0,0.153635,0x0049,,
2024-08-13 11:00:00,Brown,WP0,28,38.0,0.151958,0x0055,,
2024-08-13 11:00:00,Brown,WP1,28,38.0,0.151634,0x0054,,
2024-08-13 15:29:00,Pink,WP0,30,,0.150185,,,
2024-08-13 15:29:00,Pink,WP1,30,,0.150431,,,
2024-08-13 15:29:00,White,WP0,30,,0.154313,,,
2024-08-13 15:29:00,White,WP1,30,,0.154394,,,
2024-08-13 15:29:00,Brown,WP0,30,,0.152398,,,
2024-08-13 15:29:00,Brown,WP1,30,,0.15272,,,
2024-08-13 05:05:00,Pink,WP0,31,33.0,0.15041,0x0056,,0.150455
2024-08-13 05:05:00,Pink,WP1,31,33.0,0.150655,0x0055,,0.1507
2024-08-13 05:05:00,White,WP0,31,33.0,0.154528,0x0043,,0.154574
2024-08-13 05:05:00,White,WP1,31,33.0,0.154604,0x0043,,0.15465
2024-08-13 05:05:00,Brown,WP0,31,33.0,0.152587,0x0052,,0.152648
2024-08-13 05:05:00,Brown,WP1,31,33.0,0.152914,0x0051,,0.15297
2024-08-12 12:03:00,Pink,WP0,25,44.0,0.14828,0x005e,,
2024-08-12 12:03:00,Pink,WP1,25,44.0,0.148503,0x005c,,
2024-08-12 14:11:00,White,WP0,24,44.0,0.152532,0x004d,,
2024-08-12 14:11:00,Brown,WP0,24,44.0,0.150496,0x0058,,
2024-08-12 14:11:00,Brown,WP1,24,44.0,0.150805,0x0058,,
2024-08-12 17:45:00,Pink,WP0,28,38.0,0.149006,0x005a,,
2024-08-12 17:46:00,Pink,WP1,28,38.0,0.14925,0x005a,,
2024-08-12 17:37:00,White,WP0,28,38.0,0.153049,0x004a,,
2024-08-12 17:38:00,White,WP1,28,38.0,0.153131,0x004a,,
2024-08-12 17:41:00,Brown,WP0,28,38.0,0.151159,0x0056,,
2024-08-12 17:42:00,Brown,WP1,28,38.0,0.151486,0x0056,,
2024-08-16 08:42:00,Pink,WP0,32,28.0,0.152655,0x005a,0x0059,0.152663
2024-08-16 08:42:00,Pink,WP1,32,28.0,0.152904,0x005a,0x005a,0.152909
2024-08-16 08:42:00,White,WP0,32,28.0,0.156854,0x0049,0x0049,0.156864
2024-08-16 08:42:00,White,WP1,32,28.0,0.156932,0x004a,0x0049,0.156941
2024-08-16 08:42:00,Brown,WP0,32,28.0,0.154893,0x0056,0x0055,0.154902
2024-08-16 08:42:00,Brown,WP1,32,28.0,0.15522,0x0056,0x0056,0.155229
2024-08-16 16:41:00,Pink,WP0,34,26.0,0.15291,0x005a,0x005a,0.15293
2024-08-16 16:41:00,Pink,WP1,34,26.0,0.153157,0x005a,0x005a,0.153177
2024-08-16 16:41:00,White,WP0,34,26.0,0.157109,0x004b,0x004b,0.15713
2024-08-16 16:41:00,White,WP1,34,26.0,0.157188,0x004b,0x004b,0.157208
2024-08-16 16:41:00,Brown,WP0,34,26.0,0.15514,0x0058,0x0057,0.155163
2024-08-16 16:41:00,Brown,WP1,34,26.0,0.155468,0x0056,0x0056,0.155491
2024-08-19 08:41:00,Pink,WP0,32,29.0,0.152363,0x0068,0x0068,0.152367
2024-08-19 08:41:00,Pink,WP1,32,29.0,0.15261,0x0068,0x0068,0.152613
2024-08-19 08:41:00,White,WP0,32,29.0,0.15654,0x005b,0x005b,0.156556
2024-08-19 08:41:00,White,WP1,32,29.0,0.156616,0x005b,0x005a,0.156633
2024-08-19 08:41:00,Brown,WP0,32,29.0,0.154591,0x0063,0x0063,0.1546
2024-08-19 08:41:00,Brown,WP1,32,29.0,0.154918,0x0064,0x0064,0.154928
2024-08-19 16:45:00,Pink,WP0,33,25.0,0.152639,0x005a,0x005a,0.152653
2024-08-19 16:45:00,Pink,WP1,33,25.0,0.152887,0x005b,0x005b,0.1529
2024-08-19 16:45:00,White,WP0,33,25.0,0.156834,0x0050,0x0050,0.156844
2024-08-19 16:45:00,White,WP1,33,25.0,0.156911,0x004f,0x004e,0.156923
2024-08-19 16:45:00,Brown,WP0,33,25.0,0.154869,0x0058,0x0056,0.154877
2024-08-19 16:45:00,Brown,WP1,33,25.0,0.155196,0x0056,0x0058,0.155203
2024-08-20 10:16:00,Pink,WP0,32,25.0,0.15274, 0x0067,0x0069,0.152741
2024-08-20 10:16:00,Pink,WP1,32,25.0,0.152975,0x005c, 0x005b,0.152995
2024-08-20 10:16:00,White,WP0,32,25.0,0.156926, 0x0052,0x0050,0.156941
2024-08-20 10:16:00,White,WP1,32,25.0,0.157009, 0x0052,0x0051,0.15702
2024-08-20 10:16:00,Brown,WP0,32,25.0,0.154966,0x0058,0x0058,0.154975
2024-08-20 10:16:00,Brown,WP1,32,25.0,0.155291, 0x0059, 0x0059,0.155318
2024-08-20 17:46:00,Pink,WP0,33,23.0,0.15281,0x0068,0x006a,0.152821
2024-08-20 17:46:00,Pink,WP1,33,23.0,0.153056,0x0067,0x006a,0.153072
2024-08-20 17:46:00,White,WP0,33,23.0,0.157013, 0x005c,0x005b,0.157023
2024-08-20 17:46:00,White,WP1,33,23.0,0.15709, 0x005b, 0x005d,0.1571
2024-08-20 17:46:00,Brown,WP0,33,23.0,0.155045,0x0064,0x0065,0.155059
2024-08-20 17:46:00,Brown,WP1,33,23.0,0.155372,0x0064, 0x0064,0.155388
2024-08-21 09:11:00,Pink,WP0,32,26.0,0.152904,0x006a,0x006b,0.152911
2024-08-21 09:11:00,Pink,WP1,32,26.0,0.153152,0x005e,0x005e,0.153159
2024-08-21 09:11:00,White,WP0,32,26.0,0.157109,0x005e,0x005e,0.157115
2024-08-21 09:11:00,White,WP1,32,26.0,0.157188,0x0053,0x0054,0.157192
2024-08-21 09:11:00,Brown,WP0,32,26.0,0.155142,0x005a,0x005a,0.15515
2024-08-21 09:11:00,Brown,WP1,32,26.0,0.155469,0x005a,0x005a,0.155471
2024-08-21 16:17:00,Pink,WP0,33,23.0,0.153057,0x006a,0x006b,0.153308
2024-08-21 16:17:00,Pink,WP1,33,23.0,0.153396,0x005f,0x005e,0.153061
2024-08-21 16:17:00,White,WP0,33,23.0,0.15727,0x005f,0x005e,0.157274
2024-08-21 16:17:00,White,WP1,33,23.0,0.157344,0x0054,0x0053,0.157354
2024-08-21 16:17:00,Brown,WP0,33,23.0,0.155294,0x0066,0x0066,0.155308
2024-08-21 16:17:00,Brown,WP1,33,23.0,0.155621,0x005a,0x005a,0.155637
2024-08-22 08:50:00,Pink,WP0,33,24.0,0.153174,0x006c,0x006c,0.153178
2024-08-22 08:50:00,Pink,WP1,33,24.0,0.153421,0x0060,0x0060,0.153426
2024-08-22 08:50:00,White,WP0,33,24.0,0.157385,0x0060,0x0060,0.157388
2024-08-22 08:50:00,White,WP1,33,24.0,0.157462,0x0055,0x0055,0.157463
2024-08-22 08:50:00,Brown,WP0,33,24.0,0.155416,0x0068,0x0067,0.155414
2024-08-22 08:50:00,Brown,WP1,33,24.0,0.15574,0x005b,0x005b,0.155741
2024-08-22 16:20:00,Pink,WP0,33,24.0,0.153184,0x006c,0x006c,0.153184
2024-08-22 16:20:00,Pink,WP1,33,24.0,0.15343,0x0060,0x0060,0.15343
2024-08-22 16:20:00,White,WP0,33,24.0,0.157397,0x0061,0x0060,0.157395
2024-08-22 16:20:00,White,WP1,33,24.0,0.157478,0x0056,0x0056,0.157476
2024-08-22 16:20:00,Brown,WP0,33,24.0,0.155426,0x0066,0x0068,0.155425
2024-08-22 16:20:00,Brown,WP1,33,24.0,0.155753,0x005a,0x005d,0.155754
2024-08-23 08:56:00,Pink,WP0,33,24.0,0.153242,0x006e,0x006c,0.153237
2024-08-23 08:56:00,Pink,WP1,33,24.0,0.153488,0x0062,0x0061,0.153489
2024-08-23 08:56:00,White,WP0,33,24.0,0.157456,0x0062,0x0062,0.157448
2024-08-23 08:56:00,White,WP1,33,24.0,0.157533,0x0056,0x0056,0.157528
