Quad Color,Wire Pair,Date,Wire Temp [C],Air Temp [C],Humidity
Pink,WP0,2024-08-14,33.0,32.0,30.0
Pink,WP1,2024-08-14,33.0,32.0,30.0
White,WP0,2024-08-14,33.0,32.0,30.0
White,WP1,2024-08-14,33.0,32.0,30.0
Brown,WP0,2024-08-14,33.0,32.0,30.0
Brown,WP1,2024-08-14,33.0,32.0,30.0
Pink,WP0,2024-08-15,32.0,31.0,30.0
Pink,WP1,2024-08-15,32.0,31.0,30.0
White,WP0,2024-08-15,32.0,31.0,30.0
White,WP1,2024-08-15,32.0,31.0,30.0
Brown,WP0,2024-08-15,32.0,31.0,30.0
Brown,WP1,2024-08-15,32.0,31.0,30.0
Pink,WP0,2024-08-13,25.0,24.0,
Pink,WP1,2024-08-13,25.0,24.0,
White,WP0,2024-08-13,25.0,24.0,
White,WP1,2024-08-13,25.0,24.0,
Brown,WP0,2024-08-13,25.0,24.0,
Brown,WP1,2024-08-13,25.0,24.0,
Pink,WP0,2024-08-12,26.0,25.0,44.0
Pink,WP1,2024-08-12,26.0,25.0,44.0
White,WP0,2024-08-12,25.0,24.0,44.0
Brown,WP0,2024-08-12,25.0,24.0,44.0
Brown,WP1,2024-08-12,25.0,24.0,44.0
White,WP1,2024-08-12,29.0,28.0,38.0
Pink,WP0,2024-08-16,33.0,32.0,28.0
Pink,WP1,2024-08-16,33.0,32.0,28.0
White,WP0,2024-08-16,33.0,32.0,28.0
White,WP1,2024-08-16,33.0,32.0,28.0
Brown,WP0,2024-08-16,33.0,32.0,28.0
Brown,WP1,2024-08-16,33.0,32.0,28.0
Pink,WP0,2024-08-19,33.0,32.0,29.0
Pink,WP1,2024-08-19,33.0,32.0,29.0
White,WP0,2024-08-19,33.0,32.0,29.0
White,WP1,2024-08-19,33.0,32.0,29.0
Brown,WP0,2024-08-19,33.0,32.0,29.0
Brown,WP1,2024-08-19,33.0,32.0,29.0
Pink,WP0,2024-08-20,33.0,32.0,25.0
Pink,WP1,2024-08-20,33.0,32.0,25.0
White,WP0,2024-08-20,33.0,32.0,25.0
White,WP1,2024-08-20,33.0,32.0,25.0
Brown,WP0,2024-08-20,33.0,32.0,25.0
Brown,WP1,2024-08-20,33.0,32.0,25.0
Pink,WP0,2024-08-21,33.0,32.0,26.0
Pink,WP1,2024-08-21,33.0,32.0,26.0
White,WP0,2024-08-21,33.0,32.0,26.0
White,WP1,2024-08-21,33.0,32.0,26.0
Brown,WP0,2024-08-21,33.0,32.0,26.0
Brown,WP1,2024-08-21,33.0,32.0,26.0
Pink,WP0,2024-08-22,34.0,33.0,24.0
Pink,WP1,2024-08-22,34.0,33.0,24.0
White,WP0,2024-08-22,34.0,33.0,24.0
White,WP1,2024-08-22,34.0,33.0,24.0
Brown,WP0,2024-08-22,34.0,33.0,24.0
Brown,WP1,2024-08-22,34.0,33.0,24.0
Pink,WP0,2024-08-23,34.0,33.0,24.0
Pink,WP1,2024-08-23,34.0,33.0,24.0
White,WP0,2024-08-23,34.0,33.0,24.0
White,WP1,2024-08-23,34.0,33.0,24.0
Brown,WP0,2024-08-23,34.0,33.0,24.0
Brown,WP1,2024-08-23,34.0,33.0,24.0
Pink,WP0,2024-08-26,34.0,33.0,25.0
Pink,WP1,2024-08-26,34.0,33.0,25.0
White,WP0,2024-08-26,34.0,33.0,25.0
White,WP1,2024-08-26,34.0,33.0,25.0
Brown,WP0,2024-08-26,34.0,33.0,25.0
Brown,WP1,2024-08-26,34.0,33.0,25.0
Pink,WP0,2024-08-27,34.0,33.0,25.0
Pink,WP1,2024-08-27,34.0,33.0,25.0
White,WP0,2024-08-27,34.0,33.0,25.0
White,WP1,2024-08-27,34.0,33.0,25.0
Brown,WP0,2024-08-27,34.0,33.0,25.0
Brown,WP1,2024-08-27,34.0,33.0,25.0
Pink,WP0,2024-08-28,35.0,34.0,26.0
Pink,WP1,2024-08-28,35.0,34.0,26.0
White,WP0,2024-08-28,35.0,34.0,26.0
White,WP1,2024-08-28,35.0,34.0,26.0
Brown,WP0,2024-08-28,35.0,34.0,26.0
Brown,WP1,2024-08-28,35.0,34.0,26.0
Pink,WP0,2024-08-29,34.0,33.0,25.0
Pink,WP1,2024-08-29,34.0,33.0,25.0
White,WP0,2024-08-29,34.0,33.0,25.0
White,WP1,2024-08-29,34.0,33.0,25.0
Brown,WP0,2024-08-29,34.0,33.0,25.0
Brown,WP1,2024-08-29,34.0,33.0,25.0
Pink,WP0,2024-08-30,34.0,33.0,29.0
Pink,WP1,2024-08-30,34.0,33.0,29.0
White,WP0,2024-08-30,34.0,33.0,29.0
White,WP1,2024-08-30,34.0,33.0,29.0
Brown,WP0,2024-08-30,34.0,33.0,29.0
Brown,WP1,2024-08-30,34.0,33.0,29.0
Pink,WP0,2024-09-03,32.0,31.0,23.0
Pink,WP1,2024-09-03,32.0,31.0,23.0
White,WP0,2024-09-03,32.0,31.0,23.0
White,WP1,2024-09-03,32.0,31.0,23.0
Brown,WP0,2024-09-03,32.0,31.0,23.0
Brown,WP1,2024-09-03,32.0,31.0,23.0
Pink,WP0,2024-09-04,34.0,33.0,24.0
Pink,WP1,2024-09-04,34.0,33.0,24.0
White,WP0,2024-09-04,34.0,33.0,24.0
White,WP1,2024-09-04,34.0,33.0,24.0
Brown,WP0,2024-09-04,34.0,33.0,24.0
Brown,WP1,2024-09-04,34.0,33.0,24.0
Pink,WP0,2024-09-05,33.0,32.0,26.0
Pink,WP1,2024-09-05,33.0,32.0,26.0
White,WP0,2024-09-05,33.0,32.0,26.0
White,WP1,2024-09-05,33.0,32.0,26.0
Brown,WP0,2024-09-05,33.0,32.0,26.0
Brown,WP1,2024-09-05,33.0,32.0,26.0
Pink,WP0,2024-09-06,34.0,33.0,26.0
Pink,WP1,2024-09-06,34.0,33.0,26.0
White,WP0,2024-09-06,34.0,33.0,26.0
White,WP1,2024-09-06,34.0,33.0,26.0
Brown,WP0,2024-09-06,34.0,33.0,26.0
Brown,WP1,2024-09-06,34.0,33.0,26.0
Pink,WP0,2024-09-09,33.0,32.0,25
Pink,WP1,2024-09-09,33.0,32.0,25
White,WP0,2024-09-09,33.0,32.0,25
White,WP1,2024-09-09,33.0,32.0,25
Brown,WP0,2024-09-09,33.0,32.0,25
Brown,WP1,2024-09-09,33.0,32.0,25
Pink,WP0,2024-09-10,31.0,30.0,30
Pink,WP1,2024-09-10,31.0,30.0,30
White,WP0,2024-09-10,31.0,30.0,30
White,WP1,2024-09-10,31.0,30.0,30
Brown,WP0,2024-09-10,31.0,30.0,30
Brown,WP1,2024-09-10,31.0,30.0,30
Pink,WP0,2024-09-11,34.0,33.0,25
Pink,WP1,2024-09-11,34.0,33.0,25
White,WP0,2024-09-11,34.0,33.0,25
White,WP1,2024-09-11,34.0,33.0,25
Brown,WP0,2024-09-11,34.0,33.0,25
Brown,WP1,2024-09-11,34.0,33.0,25
Pink,WP0,2024-09-12,34.0,33.0,24
Pink,WP1,2024-09-12,34.0,33.0,24
White,WP0,2024-09-12,34.0,33.0,24
White,WP1,2024-09-12,34.0,33.0,24
Brown,WP0,2024-09-12,34.0,33.0,24
Brown,WP1,2024-09-12,34.0,33.0,24
Pink,WP0,2024-09-13,34.0,33.0,24
Pink,WP1,2024-09-13,34.0,33.0,24
White,WP0,2024-09-13,34.0,33.0,24
White,WP1,2024-09-13,34.0,33.0,24
Brown,WP0,2024-09-13,34.0,33.0,24
Brown,WP1,2024-09-13,34.0,33.0,24
Pink,WP0,2024-09-16,34.0,33.0,24
Pink,WP1,2024-09-16,34.0,33.0,24
White,WP0,2024-09-16,34.0,33.0,24
White,WP1,2024-09-16,34.0,33.0,24
Brown,WP0,2024-09-16,34.0,33.0,24
Brown,WP1,2024-09-16,34.0,33.0,24
Pink,WP0,2024-09-17,33.0,32.0,23
Pink,WP1,2024-09-17,33.0,32.0,23
White,WP0,2024-09-17,33.0,32.0,23
White,WP1,2024-09-17,33.0,32.0,23
Brown,WP0,2024-09-17,33.0,32.0,23
Brown,WP1,2024-09-17,33.0,32.0,23
Pink,WP0,2024-09-18,34.0,33.0,24
Pink,WP1,2024-09-18,34.0,33.0,24
White,WP0,2024-09-18,34.0,33.0,24
White,WP1,2024-09-18,34.0,33.0,24
Brown,WP0,2024-09-18,34.0,33.0,24
Brown,WP1,2024-09-18,34.0,33.0,24
Pink,WP0,2024-09-20,27.0,26.0,36
Pink,WP1,2024-09-20,27.0,26.0,36
White,WP0,2024-09-20,27.0,26.0,36
White,WP1,2024-09-20,27.0,26.0,36
Brown,WP0,2024-09-20,27.0,26.0,36
Brown,WP1,2024-09-20,27.0,26.0,36
Pink,WP0,2024-09-21,26.0,25.0,37
Pink,WP1,2024-09-21,26.0,25.0,37
White,WP0,2024-09-21,26.0,25.0,37
White,WP1,2024-09-21,26.0,25.0,37
Brown,WP0,2024-09-21,26.0,25.0,37
Brown,WP1,2024-09-21,26.0,25.0,37
Pink,WP0,2024-09-23,26.0,25.0,38
Pink,WP1,2024-09-23,26.0,25.0,38
White,WP0,2024-09-23,26.0,25.0,38
